2.956E+2	-1.413E-1	-6.653E-2	-2.899E-2	-1.373E-2
2.956E+2	-1.413E-1	-6.653E-2	-2.899E-2	-1.373E-2
2.957E+2	-1.340E-1	-6.012E-2	-3.265E-2	-1.465E-2
2.957E+2	-1.370E-1	-7.019E-2	-3.540E-2	-1.465E-2
2.957E+2	-1.364E-1	-6.683E-2	-3.754E-2	-1.282E-2
2.957E+2	-1.328E-1	-6.653E-2	-4.089E-2	-9.460E-3
2.957E+2	-1.331E-1	-6.378E-2	-3.906E-2	-6.714E-3
2.957E+2	-1.334E-1	-5.829E-2	-4.089E-2	-1.099E-2
2.958E+2	-1.334E-1	-5.798E-2	-4.486E-2	-1.648E-2
2.958E+2	-1.309E-1	-5.035E-2	-4.944E-2	-7.019E-3
2.958E+2	-1.276E-1	-4.578E-2	-4.181E-2	6.104E-4
2.958E+2	-1.263E-1	-4.791E-2	-3.296E-2	5.188E-3
2.958E+2	-1.111E-1	-5.188E-2	-2.747E-2	1.190E-2
2.958E+2	-1.147E-1	-4.852E-2	-2.350E-2	1.038E-2
2.959E+2	-1.193E-1	-5.432E-2	-2.686E-2	1.068E-2
2.959E+2	-1.221E-1	-5.127E-2	-2.808E-2	8.240E-3
2.959E+2	-1.334E-1	-5.554E-2	-2.563E-2	1.007E-2
2.962E+2	-1.227E-1	-6.653E-2	-4.974E-2	-6.165E-2
2.965E+2	-1.242E-1	-6.287E-2	-6.073E-2	-7.538E-2
2.969E+2	-1.300E-1	-7.996E-2	-7.385E-2	-8.118E-2
2.971E+2	-2.484E-1	-1.889E-1	-1.416E-1	-1.108E-1
2.974E+2	-2.258E-1	-2.441E-1	-1.758E-1	-1.233E-1
2.976E+2	-3.021E-1	-2.408E-1	-1.556E-1	-8.270E-2
2.980E+2	-2.869E-1	-1.590E-1	-9.033E-2	-4.395E-2
2.982E+2	-2.594E-1	-1.120E-1	-6.744E-2	-2.991E-2
2.985E+2	-1.892E-1	-7.874E-2	-4.272E-2	-1.678E-2
