Bias,Data Trace Real_A,Data Trace Real_B
-1.00000e+01,4.471737e-11,8.926544e-07
-9.96200e+00,4.470095e-11,1.195246e-06
-9.92500e+00,4.511688e-11,1.363461e-06
-9.88700e+00,4.584288e-11,1.054337e-06
-9.85000e+00,4.537646e-11,8.817514e-07
-9.81200e+00,4.549373e-11,7.972999e-07
-9.77500e+00,4.584690e-11,8.995434e-07
-9.73700e+00,4.618201e-11,8.784993e-07
-9.70000e+00,4.571186e-11,7.237268e-07
-9.66200e+00,4.603916e-11,8.027390e-07
-9.62500e+00,4.641699e-11,9.241646e-07
-9.58700e+00,4.665782e-11,1.243078e-06
-9.55000e+00,4.668401e-11,1.003704e-06
-9.51200e+00,4.672819e-11,1.242020e-06
-9.47500e+00,4.646947e-11,9.790516e-07
-9.43700e+00,4.652646e-11,9.792961e-07
-9.40000e+00,4.701171e-11,7.131098e-07
-9.36200e+00,4.651742e-11,7.837743e-07
-9.32500e+00,4.659216e-11,1.141357e-06
-9.28700e+00,4.725266e-11,1.210904e-06
-9.25000e+00,4.729915e-11,9.996378e-07
-9.21200e+00,4.737214e-11,1.255578e-06
-9.17500e+00,4.689503e-11,1.316565e-06
-9.13700e+00,4.719008e-11,1.043123e-06
-9.10000e+00,4.737025e-11,1.045039e-06
-9.06200e+00,4.818878e-11,7.461857e-07
-9.02500e+00,4.762788e-11,6.013564e-07
-8.98700e+00,4.766310e-11,7.163739e-07
-8.95000e+00,4.773524e-11,1.510163e-06
-8.91200e+00,4.771640e-11,1.187749e-06
-8.87500e+00,4.780266e-11,1.405423e-06
-8.83700e+00,4.862231e-11,1.009916e-06
-8.80000e+00,4.808085e-11,7.470657e-07
-8.76200e+00,4.784285e-11,1.179543e-06
-8.72500e+00,4.871806e-11,1.209562e-06
-8.68700e+00,4.843648e-11,1.142822e-06
-8.65000e+00,4.853763e-11,9.642813e-07
-8.61200e+00,4.881999e-11,1.320360e-06
-8.57500e+00,4.842913e-11,9.911947e-07
-8.53700e+00,4.882957e-11,9.336885e-07
-8.50000e+00,4.921477e-11,1.105541e-06
-8.46200e+00,4.900630e-11,1.010759e-06
-8.42500e+00,4.953045e-11,1.014987e-06
-8.38700e+00,4.881266e-11,1.083856e-06
-8.35000e+00,4.968417e-11,1.165148e-06
-8.31200e+00,4.937223e-11,1.032347e-06
-8.27500e+00,4.996742e-11,9.171160e-07
-8.23700e+00,5.048123e-11,7.626282e-07
-8.20000e+00,4.982272e-11,1.277635e-06
-8.16200e+00,5.007894e-11,9.593973e-07
-8.12500e+00,4.981150e-11,9.470421e-07
-8.08700e+00,5.002728e-11,8.489443e-07
-8.05000e+00,5.055636e-11,9.682287e-07
-8.01200e+00,4.993160e-11,1.313627e-06
-7.97500e+00,5.055379e-11,9.692337e-07
-7.93700e+00,5.012713e-11,1.089883e-06
-7.90000e+00,5.026247e-11,1.032722e-06
-7.86200e+00,5.077508e-11,9.794635e-07
-7.82500e+00,5.078915e-11,1.136783e-06
-7.78700e+00,5.124115e-11,1.065046e-06
-7.75000e+00,5.102153e-11,9.084712e-07
-7.71200e+00,5.088035e-11,1.206623e-06
-7.67500e+00,5.127810e-11,1.457843e-06
-7.63700e+00,5.163043e-11,9.447602e-07
-7.60000e+00,5.140469e-11,1.272953e-06
-7.56200e+00,5.101723e-11,1.147425e-06
-7.52500e+00,5.097656e-11,9.881352e-07
-7.48700e+00,5.177784e-11,1.014162e-06
-7.45000e+00,5.191152e-11,1.235169e-06
-7.41200e+00,5.180814e-11,1.052456e-06
-7.37500e+00,5.149984e-11,1.314547e-06
-7.33700e+00,5.185833e-11,1.289177e-06
-7.30000e+00,5.225956e-11,1.350615e-06
-7.26200e+00,5.210648e-11,8.615742e-07
-7.22500e+00,5.225003e-11,1.351560e-06
-7.18700e+00,5.206452e-11,1.234448e-06
-7.15000e+00,5.276325e-11,1.095767e-06
-7.11200e+00,5.303766e-11,1.037736e-06
-7.07500e+00,5.309769e-11,1.117446e-06
-7.03700e+00,5.290615e-11,1.136337e-06
-7.00000e+00,5.316936e-11,1.398470e-06
-6.96200e+00,5.360317e-11,1.233060e-06
-6.92500e+00,5.298345e-11,1.427419e-06
