Bias,Data Trace Real_A,Data Trace Real_B
-1.00000e+01,4.068984e-11,6.982039e-08
-9.96200e+00,5.184418e-11,-5.602752e-08
-9.92500e+00,5.979622e-12,3.087470e-07
-9.88700e+00,5.357188e-11,8.387718e-08
-9.85000e+00,1.353053e-11,-2.044830e-07
-9.81200e+00,8.216355e-12,2.889321e-07
-9.77500e+00,4.583774e-11,-2.148048e-07
-9.73700e+00,4.464019e-11,1.122374e-07
-9.70000e+00,1.813762e-11,1.297012e-07
-9.66200e+00,9.828530e-11,-6.005724e-08
-9.62500e+00,1.640279e-11,3.249407e-07
-9.58700e+00,3.321330e-11,8.979563e-08
-9.55000e+00,6.834969e-11,1.522242e-07
-9.51200e+00,-2.079423e-12,-1.084528e-07
-9.47500e+00,4.820404e-11,1.805085e-07
-9.43700e+00,2.675535e-11,-1.661216e-07
-9.40000e+00,7.240350e-11,6.867067e-08
-9.36200e+00,2.917793e-11,2.154248e-08
-9.32500e+00,7.719771e-11,3.105787e-07
-9.28700e+00,3.306077e-11,9.062479e-08
-9.25000e+00,6.482590e-11,-2.180733e-08
-9.21200e+00,3.755167e-11,1.875597e-07
-9.17500e+00,3.935123e-11,-1.120477e-07
-9.13700e+00,-2.790436e-11,1.142128e-07
-9.10000e+00,5.018563e-11,-2.545124e-07
-9.06200e+00,6.738094e-11,2.587404e-07
-9.02500e+00,7.432236e-11,-9.945835e-08
-8.98700e+00,7.804112e-11,-1.578564e-07
-8.95000e+00,3.646031e-11,3.725490e-08
-8.91200e+00,5.595368e-11,3.163883e-07
-8.87500e+00,4.506548e-11,7.127295e-08
-8.83700e+00,1.144774e-11,3.046145e-08
-8.80000e+00,3.102724e-11,3.714811e-07
-8.76200e+00,1.532151e-11,3.089843e-07
-8.72500e+00,6.756606e-11,1.088765e-07
-8.68700e+00,4.351855e-11,1.250119e-07
-8.65000e+00,4.966339e-11,3.006000e-07
-8.61200e+00,5.084643e-11,-1.293671e-07
-8.57500e+00,8.810232e-11,-7.511736e-08
