Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,-1.162985e-09,6.664111e-04,9.082683e-11,7.138103e-04,1.629447e-11,7.182885e-04,1.096644e-11,7.483619e-04
-2.98500e+00,-6.296361e-11,6.748637e-04,1.049422e-10,7.024511e-04,1.514389e-11,7.117564e-04,1.098541e-11,7.472359e-04
-2.97000e+00,-2.561141e-10,6.868628e-04,1.274027e-10,7.023503e-04,1.138595e-11,7.153677e-04,1.101822e-11,7.475595e-04
-2.95500e+00,1.242310e-09,7.006992e-04,-1.475773e-11,7.050765e-04,1.689092e-11,7.154658e-04,1.089412e-11,7.490081e-04
-2.94000e+00,1.087212e-09,6.796785e-04,8.402096e-11,7.051956e-04,1.159767e-11,7.172982e-04,1.100027e-11,7.498562e-04
-2.92500e+00,-9.189298e-10,6.838634e-04,1.343108e-10,7.097562e-04,1.544976e-11,7.206075e-04,1.097929e-11,7.545191e-04
-2.91000e+00,-3.571361e-10,6.824773e-04,5.276793e-11,7.063919e-04,1.496782e-11,7.220769e-04,1.095608e-11,7.570049e-04
-2.89500e+00,3.503506e-10,6.967453e-04,7.563761e-11,7.114073e-04,1.574517e-11,7.266889e-04,1.095005e-11,7.590739e-04
-2.88000e+00,1.962158e-09,6.969261e-04,1.156171e-10,7.160337e-04,1.486185e-11,7.265146e-04,1.089102e-11,7.622814e-04
-2.86500e+00,3.743724e-11,7.115303e-04,-1.794618e-11,7.147071e-04,1.391118e-11,7.310846e-04,1.092472e-11,7.660877e-04
-2.85000e+00,-2.762166e-10,7.079287e-04,1.098587e-10,7.240711e-04,1.593695e-11,7.336873e-04,1.109975e-11,7.678079e-04
-2.83500e+00,-1.011760e-09,7.129452e-04,-8.096817e-13,7.315197e-04,1.617637e-11,7.323004e-04,1.087513e-11,7.712540e-04
-2.82000e+00,-9.940040e-10,7.012618e-04,-3.848941e-12,7.303040e-04,1.532050e-11,7.391463e-04,1.108237e-11,7.755474e-04
-2.80500e+00,-2.092753e-10,7.022842e-04,8.155300e-11,7.293579e-04,1.410698e-11,7.403746e-04,1.085092e-11,7.782818e-04
-2.79000e+00,3.564507e-10,7.116462e-04,3.626444e-11,7.392189e-04,1.594947e-11,7.440686e-04,1.100931e-11,7.832162e-04
-2.77500e+00,4.108338e-10,7.240244e-04,1.799569e-12,7.379773e-04,1.703137e-11,7.488110e-04,1.098543e-11,7.878519e-04
-2.76000e+00,1.075116e-09,7.300994e-04,8.970122e-12,7.439487e-04,1.324706e-11,7.517638e-04,1.092007e-11,7.903597e-04
-2.74500e+00,4.701115e-10,7.323588e-04,1.452873e-10,7.444019e-04,1.560355e-11,7.560168e-04,1.090886e-11,7.955491e-04
-2.73000e+00,-4.332640e-11,7.234966e-04,1.757250e-11,7.559988e-04,1.324199e-11,7.590920e-04,1.102160e-11,7.997390e-04
-2.71500e+00,-1.155240e-09,7.198579e-04,1.406218e-10,7.529896e-04,1.315871e-11,7.653442e-04,1.093512e-11,8.032320e-04
-2.70000e+00,-4.195154e-10,7.346158e-04,8.447689e-11,7.586208e-04,1.218282e-11,7.695975e-04,1.100965e-11,8.081458e-04
-2.68500e+00,3.307571e-10,7.389828e-04,7.157844e-11,7.571295e-04,1.640298e-11,7.735273e-04,1.110166e-11,8.118754e-04
-2.67000e+00,3.121416e-09,7.466392e-04,-1.094450e-11,7.664796e-04,1.280410e-11,7.785838e-04,1.089506e-11,8.187792e-04
