Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,4.350589e-10,1.216381e-07,4.384002e-10,2.833375e-07,4.353424e-10,2.653610e-05,2.388288e-10,1.473242e-03
-2.98500e+00,4.394362e-10,-2.840022e-08,4.404786e-10,8.594437e-07,4.361933e-10,2.639110e-05,2.394560e-10,1.478339e-03
-2.97000e+00,4.353276e-10,3.948715e-08,4.423174e-10,1.641367e-07,4.377156e-10,2.609091e-05,2.399733e-10,1.478356e-03
-2.95500e+00,4.081450e-10,8.347835e-08,4.424388e-10,3.699629e-07,4.383350e-10,2.677492e-05,2.398787e-10,1.483926e-03
-2.94000e+00,4.203610e-10,3.503388e-07,4.492326e-10,6.974544e-07,4.380927e-10,2.669134e-05,2.405767e-10,1.485660e-03
-2.92500e+00,4.391076e-10,5.008452e-08,4.459553e-10,3.315287e-07,4.394883e-10,2.645178e-05,2.403792e-10,1.492106e-03
-2.91000e+00,4.407391e-10,-8.478138e-08,4.444140e-10,4.613927e-07,4.398037e-10,2.652532e-05,2.405591e-10,1.491271e-03
-2.89500e+00,4.580229e-10,-1.993408e-07,4.448289e-10,3.281261e-07,4.411095e-10,2.663078e-05,2.412673e-10,1.493376e-03
-2.88000e+00,3.888271e-10,1.024045e-07,4.447184e-10,7.374784e-07,4.417195e-10,2.683941e-05,2.410138e-10,1.495366e-03
-2.86500e+00,4.132559e-10,8.890007e-08,4.516794e-10,6.602709e-07,4.426562e-10,2.685821e-05,2.409784e-10,1.499610e-03
-2.85000e+00,5.128843e-10,4.679159e-08,4.544412e-10,1.334325e-07,4.431592e-10,2.687980e-05,2.410388e-10,1.502576e-03
-2.83500e+00,4.563659e-10,1.123864e-07,4.465436e-10,3.714325e-07,4.442607e-10,2.718324e-05,2.411682e-10,1.503638e-03
-2.82000e+00,4.559068e-10,2.188119e-08,4.432933e-10,2.376183e-07,4.448641e-10,2.757910e-05,2.410728e-10,1.507920e-03
-2.80500e+00,4.434987e-10,-1.169280e-07,4.534723e-10,6.033023e-08,4.455945e-10,2.736813e-05,2.411621e-10,1.510221e-03
-2.79000e+00,4.841504e-10,9.280490e-08,4.530853e-10,2.912458e-07,4.461442e-10,2.764503e-05,2.415078e-10,1.514083e-03
-2.77500e+00,4.604073e-10,-7.965629e-08,4.574557e-10,4.391548e-07,4.482325e-10,2.714883e-05,2.416673e-10,1.516528e-03
-2.76000e+00,4.647813e-10,3.100591e-08,4.570594e-10,6.596115e-07,4.486279e-10,2.765506e-05,2.415567e-10,1.521410e-03
-2.74500e+00,4.104449e-10,2.049024e-07,4.549297e-10,6.950115e-07,4.491240e-10,2.757931e-05,2.416319e-10,1.524605e-03
-2.73000e+00,4.588205e-10,2.936527e-07,4.492008e-10,1.838185e-07,4.505409e-10,2.835838e-05,2.410012e-10,1.523706e-03
-2.71500e+00,4.111685e-10,2.141949e-08,4.584488e-10,6.876207e-07,4.501082e-10,2.783611e-05,2.418034e-10,1.528113e-03
-2.70000e+00,4.593093e-10,9.731129e-08,4.575348e-10,2.209150e-07,4.504841e-10,2.800877e-05,2.419770e-10,1.528097e-03
-2.68500e+00,4.774571e-10,-1.949193e-07,4.581381e-10,2.658203e-07,4.515020e-10,2.787739e-05,2.419093e-10,1.536308e-03
-2.67000e+00,4.205847e-10,-6.351051e-08,4.497816e-10,2.649895e-07,4.524398e-10,2.797076e-05,2.415967e-10,1.534684e-03
-2.65500e+00,4.378226e-10,-5.766962e-08,4.562298e-10,4.202013e-07,4.539819e-10,2.834368e-05,2.419841e-10,1.540229e-03
-2.64000e+00,4.612178e-10,2.036005e-07,4.614936e-10,2.896267e-07,4.542425e-10,2.831077e-05,2.414834e-10,1.541882e-03
-2.62500e+00,4.622110e-10,-1.501756e-07,4.606378e-10,4.054228e-07,4.552288e-10,2.826963e-05,2.418739e-10,1.543350e-03
-2.61000e+00,4.484815e-10,-1.404875e-07,4.608663e-10,2.418699e-07,4.546967e-10,2.801410e-05,2.415964e-10,1.548931e-03
-2.59500e+00,4.442570e-10,1.093959e-07,4.619610e-10,2.693437e-07,4.564833e-10,2.859876e-05,2.424226e-10,1.550772e-03
-2.58000e+00,4.646524e-10,4.767956e-08,4.591777e-10,4.552572e-07,4.575718e-10,2.828922e-05,2.425225e-10,1.553384e-03
-2.56500e+00,4.835878e-10,-5.320238e-09,4.642500e-10,1.208073e-07,4.580580e-10,2.870345e-05,2.422079e-10,1.558127e-03
-2.55000e+00,4.895207e-10,5.558058e-08,4.644375e-10,8.499031e-07,4.588901e-10,2.869712e-05,2.421087e-10,1.559244e-03
-2.53500e+00,4.716651e-10,-1.683958e-07,4.698581e-10,3.263376e-07,4.600526e-10,2.949628e-05,2.423284e-10,1.561558e-03
-2.52000e+00,5.006460e-10,4.913976e-07,4.727823e-10,4.863205e-07,4.610973e-10,2.896303e-05,2.418161e-10,1.567209e-03
-2.50500e+00,4.780296e-10,3.933607e-07,4.711117e-10,8.085805e-07,4.611301e-10,2.953401e-05,2.422167e-10,1.569261e-03
-2.49000e+00,4.527468e-10,3.941375e-07,4.671812e-10,7.112314e-07,4.620294e-10,2.942696e-05,2.420648e-10,1.572474e-03
-2.47500e+00,4.551365e-10,-1.270169e-07,4.684531e-10,2.397440e-07,4.633972e-10,2.883446e-05,2.418345e-10,1.574594e-03
-2.46000e+00,4.870875e-10,-1.732000e-07,4.650380e-10,2.139686e-07,4.644442e-10,2.985756e-05,2.418452e-10,1.576584e-03
-2.44500e+00,4.655592e-10,-7.713967e-08,4.713135e-10,2.040585e-07,4.640444e-10,2.966336e-05,2.418882e-10,1.580231e-03
-2.43000e+00,4.503233e-10,2.854061e-07,4.673879e-10,5.332295e-07,4.654332e-10,2.980223e-05,2.421557e-10,1.584031e-03
-2.41500e+00,5.016450e-10,3.040896e-07,4.693523e-10,4.940385e-07,4.671455e-10,2.976736e-05,2.418707e-10,1.584609e-03
-2.40000e+00,4.414226e-10,1.851648e-07,4.743628e-10,1.495426e-07,4.676526e-10,3.012560e-05,2.419115e-10,1.588590e-03
-2.38500e+00,4.615455e-10,-2.064812e-07,4.777725e-10,7.786859e-07,4.682816e-10,3.029767e-05,2.417236e-10,1.592657e-03
-2.37000e+00,4.435323e-10,-7.588176e-08,4.758964e-10,1.447738e-07,4.694636e-10,3.015086e-05,2.414750e-10,1.596928e-03
-2.35500e+00,4.820387e-10,8.460034e-08,4.735393e-10,4.008397e-07,4.697578e-10,3.033459e-05,2.420601e-10,1.598286e-03
-2.34000e+00,4.978464e-10,1.543981e-07,4.768250e-10,3.573853e-07,4.713260e-10,2.986217e-05,2.418943e-10,1.602054e-03
-2.32500e+00,4.759766e-10,-2.731301e-08,4.769333e-10,5.571746e-07,4.723482e-10,3.025492e-05,2.417646e-10,1.603712e-03
-2.31000e+00,4.424751e-10,2.616683e-07,4.768435e-10,-2.059858e-08,4.726598e-10,3.049365e-05,2.421590e-10,1.609962e-03
-2.29500e+00,4.859113e-10,9.038625e-08,4.821538e-10,2.950503e-07,4.737880e-10,3.089852e-05,2.420590e-10,1.612362e-03
-2.28000e+00,4.727990e-10,1.418285e-08,4.770383e-10,-3.310582e-08,4.744277e-10,3.086036e-05,2.420567e-10,1.612608e-03
-2.26500e+00,4.438201e-10,2.743556e-07,4.856804e-10,-2.573127e-07,4.753079e-10,3.087875e-05,2.417792e-10,1.615409e-03
-2.25000e+00,5.084838e-10,-1.128546e-07,4.825329e-10,4.014483e-07,4.760997e-10,3.077741e-05,2.417306e-10,1.618639e-03
-2.23500e+00,4.912188e-10,5.984486e-09,4.822514e-10,4.507933e-07,4.770631e-10,3.112004e-05,2.420627e-10,1.623805e-03
-2.22000e+00,4.575305e-10,-3.410153e-08,4.837733e-10,9.296016e-07,4.782833e-10,3.137694e-05,2.423689e-10,1.625177e-03
-2.20500e+00,5.137034e-10,-9.585462e-08,4.859714e-10,5.707311e-07,4.793297e-10,3.154158e-05,2.421558e-10,1.627993e-03
-2.19000e+00,4.689205e-10,2.546274e-08,4.846963e-10,1.225688e-07,4.795610e-10,3.180140e-05,2.417029e-10,1.632537e-03
-2.17500e+00,4.647885e-10,-1.786963e-07,4.948629e-10,5.345716e-07,4.811274e-10,3.125706e-05,2.417239e-10,1.635684e-03
-2.16000e+00,4.703403e-10,1.040657e-08,4.859511e-10,4.325599e-07,4.822654e-10,3.238840e-05,2.416798e-10,1.638613e-03
-2.14500e+00,4.974774e-10,-1.491968e-08,4.834942e-10,4.770148e-07,4.830948e-10,3.190038e-05,2.421778e-10,1.640957e-03
-2.13000e+00,5.089207e-10,1.248285e-07,4.853783e-10,8.841509e-07,4.833371e-10,3.202817e-05,2.418905e-10,1.643892e-03
-2.11500e+00,5.090556e-10,-2.570919e-07,4.930706e-10,4.695240e-07,4.849465e-10,3.267968e-05,2.416346e-10,1.647443e-03
-2.10000e+00,4.875903e-10,2.856697e-07,4.924864e-10,3.028379e-07,4.854477e-10,3.219046e-05,2.420821e-10,1.651681e-03
-2.08500e+00,4.869876e-10,6.844486e-10,4.887867e-10,5.290182e-07,4.867148e-10,3.258234e-05,2.420784e-10,1.653414e-03
-2.07000e+00,4.736864e-10,-7.888046e-08,4.959337e-10,4.177293e-07,4.873125e-10,3.238292e-05,2.417128e-10,1.656933e-03
-2.05500e+00,5.177462e-10,3.854440e-07,5.003315e-10,1.954535e-07,4.884964e-10,3.237324e-05,2.415390e-10,1.662061e-03
-2.04000e+00,5.394069e-10,-1.907209e-07,4.985858e-10,3.163197e-07,4.891855e-10,3.316382e-05,2.415365e-10,1.663448e-03
-2.02500e+00,5.086331e-10,-2.277362e-07,5.001452e-10,-9.970916e-09,4.905357e-10,3.287856e-05,2.416967e-10,1.665425e-03
-2.01000e+00,5.008878e-10,2.708707e-08,5.033455e-10,4.357120e-07,4.917215e-10,3.297211e-05,2.414764e-10,1.668591e-03
-1.99500e+00,5.083780e-10,-1.712567e-07,4.980758e-10,3.777277e-07,4.923720e-10,3.296475e-05,2.417518e-10,1.676432e-03
-1.98000e+00,5.130130e-10,1.884204e-08,5.004213e-10,4.822717e-07,4.931205e-10,3.318584e-05,2.414729e-10,1.676596e-03
-1.96500e+00,5.692077e-10,5.013623e-08,5.006049e-10,7.825430e-07,4.942414e-10,3.326184e-05,2.416528e-10,1.680568e-03
-1.95000e+00,5.144613e-10,-1.815635e-07,5.040697e-10,2.346948e-07,4.957538e-10,3.373110e-05,2.415828e-10,1.686094e-03
-1.93500e+00,5.197330e-10,-1.101913e-07,5.012338e-10,8.241187e-07,4.970312e-10,3.413359e-05,2.414419e-10,1.688825e-03
-1.92000e+00,5.370164e-10,-1.490185e-07,5.065248e-10,3.627495e-07,4.978184e-10,3.367474e-05,2.407187e-10,1.692288e-03
-1.90500e+00,4.878130e-10,2.637335e-07,5.037164e-10,4.342667e-07,4.991471e-10,3.439645e-05,2.413311e-10,1.693470e-03
-1.89000e+00,4.814051e-10,-1.573062e-09,5.032866e-10,7.640472e-07,4.994166e-10,3.387442e-05,2.412731e-10,1.698482e-03
-1.87500e+00,4.983325e-10,6.954292e-08,5.076097e-10,4.347440e-07,5.012164e-10,3.434610e-05,2.409853e-10,1.703424e-03
-1.86000e+00,4.917186e-10,1.220162e-07,5.170547e-10,4.783665e-07,5.020116e-10,3.446096e-05,2.413784e-10,1.703802e-03
-1.84500e+00,5.446754e-10,-2.405099e-07,5.103882e-10,2.078367e-07,5.032866e-10,3.453988e-05,2.412118e-10,1.708973e-03
-1.83000e+00,5.544956e-10,-1.646342e-07,5.177616e-10,5.981236e-07,5.041316e-10,3.481502e-05,2.410182e-10,1.712058e-03
-1.81500e+00,4.817640e-10,-2.612319e-08,5.165841e-10,-1.521644e-08,5.049390e-10,3.470122e-05,2.407733e-10,1.713165e-03
-1.80000e+00,5.234161e-10,1.671773e-07,5.110349e-10,8.640814e-07,5.060480e-10,3.489959e-05,2.410525e-10,1.718318e-03
-1.78500e+00,5.069438e-10,-1.074368e-07,5.163865e-10,-3.458624e-08,5.071218e-10,3.527310e-05,2.412019e-10,1.723339e-03
-1.77000e+00,5.257352e-10,3.002403e-07,5.185036e-10,6.873986e-07,5.085563e-10,3.526063e-05,2.408914e-10,1.725416e-03
-1.75500e+00,5.347704e-10,-2.744785e-07,5.157909e-10,4.593107e-07,5.087013e-10,3.575247e-05,2.407141e-10,1.729948e-03
-1.74000e+00,5.542868e-10,-2.383175e-07,5.147030e-10,5.152146e-07,5.103876e-10,3.519873e-05,2.407276e-10,1.732015e-03
