Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,8.561618e-10,6.052151e-04,8.730995e-11,6.092843e-04,1.693394e-11,6.073155e-04,1.165965e-11,6.217373e-04
-2.98500e+00,1.383910e-09,5.859596e-04,8.320448e-11,6.026009e-04,1.676762e-11,6.032061e-04,1.162560e-11,6.143433e-04
-2.97000e+00,5.712257e-10,5.891080e-04,3.671002e-11,6.005678e-04,1.492807e-11,6.029018e-04,1.163421e-11,6.121405e-04
-2.95500e+00,-1.661104e-09,5.867609e-04,1.300496e-10,5.999933e-04,1.609213e-11,6.010224e-04,1.154479e-11,6.114955e-04
-2.94000e+00,6.530316e-11,5.988592e-04,7.928940e-11,6.068404e-04,1.530347e-11,6.033510e-04,1.155096e-11,6.122537e-04
-2.92500e+00,2.150798e-09,5.970272e-04,-1.069695e-11,6.003773e-04,1.787654e-11,6.035811e-04,1.156918e-11,6.124785e-04
-2.91000e+00,3.008565e-09,5.899873e-04,-5.929622e-11,6.031185e-04,1.412570e-11,6.053682e-04,1.160247e-11,6.149792e-04
-2.89500e+00,-6.036605e-10,6.021973e-04,5.802298e-11,6.052252e-04,1.697334e-11,6.040834e-04,1.173099e-11,6.164997e-04
-2.88000e+00,2.109162e-09,6.040244e-04,5.605949e-11,6.057595e-04,1.362919e-11,6.057441e-04,1.164347e-11,6.181833e-04
-2.86500e+00,-4.123068e-10,6.004567e-04,1.598328e-11,6.143125e-04,1.674892e-11,6.062609e-04,1.172320e-11,6.204406e-04
-2.85000e+00,1.659970e-09,6.031626e-04,3.671815e-11,6.120264e-04,1.722338e-11,6.079415e-04,1.168038e-11,6.219618e-04
-2.83500e+00,3.129428e-09,5.815109e-04,3.818762e-11,6.138683e-04,1.643731e-11,6.096867e-04,1.167848e-11,6.228580e-04
-2.82000e+00,4.260010e-10,6.082859e-04,5.725578e-11,6.162752e-04,1.485920e-11,6.126465e-04,1.146605e-11,6.251046e-04
-2.80500e+00,4.646144e-09,6.054235e-04,1.259675e-10,6.176949e-04,1.446245e-11,6.152352e-04,1.166192e-11,6.271304e-04
-2.79000e+00,1.113692e-09,5.884543e-04,-2.679790e-11,6.116956e-04,1.898752e-11,6.153847e-04,1.155729e-11,6.291262e-04
-2.77500e+00,1.271333e-10,6.181825e-04,1.811974e-11,6.121434e-04,1.653382e-11,6.185757e-04,1.168548e-11,6.324506e-04
-2.76000e+00,6.980710e-10,6.055985e-04,7.937159e-11,6.172443e-04,1.667187e-11,6.210905e-04,1.175391e-11,6.337996e-04
-2.74500e+00,2.083407e-09,6.077560e-04,1.017016e-10,6.251086e-04,1.477391e-11,6.247602e-04,1.174163e-11,6.372557e-04
-2.73000e+00,1.676297e-09,6.106822e-04,6.681257e-11,6.241033e-04,1.678057e-11,6.263913e-04,1.169180e-11,6.391479e-04
-2.71500e+00,1.109169e-09,6.198268e-04,1.138645e-10,6.253584e-04,1.947818e-11,6.270363e-04,1.185452e-11,6.420001e-04
-2.70000e+00,-2.687381e-10,6.357649e-04,3.406849e-11,6.348317e-04,1.716385e-11,6.312926e-04,1.154758e-11,6.458630e-04
-2.68500e+00,7.874041e-10,6.221294e-04,-1.508167e-11,6.357952e-04,2.043718e-11,6.334687e-04,1.175089e-11,6.487372e-04
-2.67000e+00,2.720927e-09,6.252980e-04,1.255436e-11,6.392897e-04,1.786565e-11,6.362211e-04,1.186022e-11,6.508242e-04
-2.65500e+00,-1.368043e-09,6.362897e-04,1.455342e-11,6.383048e-04,1.254344e-11,6.395051e-04,1.190209e-11,6.545616e-04
-2.64000e+00,-2.261941e-10,6.113879e-04,5.768614e-11,6.437384e-04,1.499110e-11,6.424957e-04,1.183178e-11,6.570552e-04
-2.62500e+00,6.819179e-10,6.267820e-04,5.825142e-11,6.510265e-04,1.586503e-11,6.456978e-04,1.181587e-11,6.596887e-04
-2.61000e+00,7.061770e-11,6.319329e-04,1.835790e-10,6.467882e-04,1.704421e-11,6.467272e-04,1.176519e-11,6.636080e-04
-2.59500e+00,-6.532881e-11,6.256019e-04,1.013408e-10,6.541456e-04,1.530537e-11,6.498302e-04,1.176875e-11,6.667385e-04
-2.58000e+00,1.685947e-09,6.622113e-04,2.220476e-10,6.555540e-04,1.833712e-11,6.557884e-04,1.176486e-11,6.692315e-04
-2.56500e+00,1.026210e-10,6.527371e-04,-5.092898e-12,6.644402e-04,1.889355e-11,6.595706e-04,1.176983e-11,6.740277e-04
-2.55000e+00,1.798451e-09,6.380849e-04,9.511129e-11,6.690614e-04,1.928076e-11,6.637084e-04,1.175635e-11,6.766383e-04
-2.53500e+00,7.173139e-10,6.493470e-04,1.490919e-10,6.693960e-04,1.371313e-11,6.656914e-04,1.186781e-11,6.820563e-04
-2.52000e+00,-4.013797e-10,6.498233e-04,1.121726e-11,6.723629e-04,1.406592e-11,6.699745e-04,1.181869e-11,6.850281e-04
-2.50500e+00,-1.290053e-10,6.390312e-04,2.770855e-12,6.744638e-04,1.731956e-11,6.749125e-04,1.175342e-11,6.893319e-04
-2.49000e+00,1.211366e-09,6.492201e-04,2.604055e-11,6.776503e-04,1.829528e-11,6.791067e-04,1.170554e-11,6.930640e-04
-2.47500e+00,2.152926e-09,6.805571e-04,9.707335e-11,6.831670e-04,1.593991e-11,6.815342e-04,1.196206e-11,6.974301e-04
-2.46000e+00,-1.029967e-09,6.667024e-04,1.280642e-10,6.848858e-04,2.033283e-11,6.864341e-04,1.190083e-11,7.022416e-04
-2.44500e+00,2.090574e-09,6.783284e-04,1.160118e-11,6.878643e-04,1.485811e-11,6.901935e-04,1.177054e-11,7.058419e-04
-2.43000e+00,2.220860e-09,6.835612e-04,1.109681e-10,6.964183e-04,1.717115e-11,6.937856e-04,1.170659e-11,7.108279e-04
-2.41500e+00,1.779567e-09,6.665217e-04,-5.107421e-11,7.056322e-04,1.901560e-11,6.987935e-04,1.195230e-11,7.158499e-04
-2.40000e+00,1.164240e-10,6.790990e-04,2.845357e-11,7.074712e-04,1.621043e-11,7.025670e-04,1.201206e-11,7.204965e-04
-2.38500e+00,-5.014831e-11,6.854598e-04,1.771840e-10,7.105406e-04,1.879114e-11,7.066458e-04,1.195945e-11,7.246268e-04
-2.37000e+00,-1.262194e-09,6.381426e-04,1.255526e-10,7.113686e-04,1.544474e-11,7.121346e-04,1.199846e-11,7.285337e-04
-2.35500e+00,-2.212204e-09,7.055395e-04,-3.611468e-12,7.186286e-04,1.582268e-11,7.185964e-04,1.209145e-11,7.332563e-04
-2.34000e+00,4.853258e-10,7.040923e-04,5.806403e-11,7.214785e-04,1.587677e-11,7.233137e-04,1.184481e-11,7.379546e-04
-2.32500e+00,1.592669e-09,6.964757e-04,-3.510734e-11,7.271969e-04,1.583342e-11,7.276836e-04,1.194695e-11,7.431634e-04
-2.31000e+00,4.289704e-10,7.135356e-04,1.087922e-10,7.361080e-04,2.002665e-11,7.345602e-04,1.185678e-11,7.486350e-04
-2.29500e+00,1.960206e-09,7.244427e-04,2.413619e-11,7.361905e-04,1.716211e-11,7.382535e-04,1.186509e-11,7.542697e-04
-2.28000e+00,9.129839e-10,7.313830e-04,-4.167569e-11,7.466554e-04,1.729411e-11,7.425371e-04,1.184367e-11,7.592561e-04
-2.26500e+00,1.520077e-09,7.220621e-04,7.263595e-11,7.502124e-04,1.603898e-11,7.480807e-04,1.194054e-11,7.645928e-04
-2.25000e+00,7.668435e-10,7.268838e-04,3.954048e-11,7.554672e-04,1.524377e-11,7.525008e-04,1.214284e-11,7.715474e-04
-2.23500e+00,-5.481308e-11,7.367891e-04,3.441165e-11,7.631530e-04,1.955296e-11,7.583962e-04,1.192019e-11,7.766772e-04
-2.22000e+00,-1.110457e-10,7.348460e-04,-3.499932e-11,7.661138e-04,1.533820e-11,7.664377e-04,1.200073e-11,7.813569e-04
-2.20500e+00,-2.147450e-10,7.562750e-04,3.747082e-11,7.726496e-04,1.920239e-11,7.716280e-04,1.214596e-11,7.887965e-04
-2.19000e+00,1.315342e-09,7.570917e-04,1.053263e-11,7.741447e-04,1.946512e-11,7.759284e-04,1.205987e-11,7.938056e-04
-2.17500e+00,7.276584e-10,7.583690e-04,5.265575e-11,7.823322e-04,1.920600e-11,7.838301e-04,1.216594e-11,8.001730e-04
