Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,4.190964e-10,1.771707e-07,4.075370e-10,3.391503e-08,4.070273e-10,2.975859e-06,4.296423e-10,1.848004e-04
-2.98500e+00,4.173654e-10,1.373934e-07,4.132541e-10,3.589313e-07,4.080160e-10,3.214966e-06,4.300522e-10,1.857311e-04
-2.97000e+00,4.248583e-10,1.933690e-08,4.134829e-10,1.665274e-07,4.084518e-10,3.356169e-06,4.308714e-10,1.858782e-04
-2.95500e+00,4.357930e-10,7.790903e-08,4.190280e-10,1.197027e-07,4.083167e-10,2.812661e-06,4.314555e-10,1.871740e-04
-2.94000e+00,4.366817e-10,1.145919e-07,4.163609e-10,8.440008e-08,4.085540e-10,3.667282e-06,4.324520e-10,1.884370e-04
-2.92500e+00,4.841843e-10,-4.315228e-07,4.167438e-10,3.289554e-07,4.090989e-10,3.682849e-06,4.330577e-10,1.886109e-04
-2.91000e+00,4.024959e-10,-1.403375e-07,4.170005e-10,1.546812e-07,4.098473e-10,3.112209e-06,4.334997e-10,1.867294e-04
-2.89500e+00,4.216815e-10,4.867881e-08,4.189868e-10,4.944135e-07,4.113868e-10,3.260184e-06,4.346074e-10,1.888362e-04
-2.88000e+00,4.325634e-10,-1.653545e-07,4.139980e-10,7.466090e-07,4.117519e-10,3.560976e-06,4.349373e-10,1.881934e-04
-2.86500e+00,4.166505e-10,9.885195e-08,4.142927e-10,2.544002e-07,4.122401e-10,3.396533e-06,4.359768e-10,1.889569e-04
-2.85000e+00,4.305766e-10,-1.344907e-07,4.274419e-10,6.953882e-07,4.125680e-10,2.978786e-06,4.363558e-10,1.900128e-04
-2.83500e+00,4.428339e-10,-4.373282e-08,4.183926e-10,4.756023e-07,4.142586e-10,3.486922e-06,4.372958e-10,1.925214e-04
-2.82000e+00,4.201832e-10,2.056591e-07,4.157301e-10,-4.816613e-08,4.147006e-10,3.402529e-06,4.375458e-10,1.898860e-04
