Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,4.515786e-10,1.993725e-08,4.242518e-10,3.242943e-07,4.185518e-10,1.830187e-06,4.443205e-10,1.970826e-04
-2.98500e+00,3.941623e-10,1.783335e-09,4.225910e-10,-1.141747e-08,4.197702e-10,1.852155e-06,4.444903e-10,2.236666e-04
-2.97000e+00,4.342804e-10,9.300607e-08,4.203108e-10,-3.011035e-07,4.204852e-10,2.365013e-06,4.450682e-10,2.518187e-04
-2.95500e+00,4.105853e-10,-1.696016e-07,4.257355e-10,2.480954e-07,4.215699e-10,2.344832e-06,4.459214e-10,2.572979e-04
-2.94000e+00,4.234484e-10,2.550761e-07,4.221891e-10,4.611283e-07,4.223963e-10,2.047951e-06,4.467246e-10,2.579867e-04
-2.92500e+00,4.472460e-10,-7.846852e-08,4.250426e-10,-3.890504e-08,4.225526e-10,2.017961e-06,4.472519e-10,2.585770e-04
-2.91000e+00,4.086677e-10,-1.670842e-07,4.205198e-10,-8.527895e-08,4.235804e-10,2.346689e-06,4.482180e-10,2.598760e-04
-2.89500e+00,4.299984e-10,-1.833285e-07,4.225042e-10,6.630376e-07,4.243890e-10,2.318574e-06,4.489452e-10,2.630438e-04
-2.88000e+00,3.905759e-10,1.411756e-07,4.290981e-10,7.347130e-08,4.248725e-10,2.037769e-06,4.496672e-10,2.624395e-04
-2.86500e+00,3.877234e-10,-3.690336e-08,4.308968e-10,5.765126e-08,4.255242e-10,2.505215e-06,4.502582e-10,2.642567e-04
-2.85000e+00,3.959311e-10,6.860761e-10,4.278326e-10,-2.615740e-07,4.258937e-10,2.417099e-06,4.511484e-10,2.627910e-04
-2.83500e+00,4.704410e-10,1.900860e-07,4.336339e-10,-7.078996e-08,4.273160e-10,2.385786e-06,4.519777e-10,2.636806e-04
-2.82000e+00,4.476817e-10,1.430532e-07,4.337212e-10,-1.115952e-07,4.276438e-10,2.217377e-06,4.524945e-10,2.648988e-04
-2.80500e+00,5.001372e-10,-9.513970e-08,4.346150e-10,9.485800e-08,4.277147e-10,2.418526e-06,4.533047e-10,2.661030e-04
-2.79000e+00,4.634738e-10,1.383407e-07,4.316689e-10,3.235849e-07,4.294516e-10,2.829091e-06,4.540575e-10,2.664360e-04
-2.77500e+00,4.125768e-10,2.773189e-07,4.305353e-10,3.458064e-08,4.296738e-10,2.548895e-06,4.550837e-10,2.665706e-04
-2.76000e+00,4.367552e-10,-5.092112e-08,4.356142e-10,-1.416960e-07,4.303489e-10,1.969173e-06,4.555217e-10,2.688106e-04
-2.74500e+00,4.067932e-10,1.745232e-07,4.336849e-10,-6.143970e-07,4.307291e-10,2.130395e-06,4.560965e-10,2.707395e-04
-2.73000e+00,4.382540e-10,-1.678811e-07,4.351619e-10,2.662382e-07,4.317917e-10,2.816949e-06,4.572170e-10,2.688811e-04
-2.71500e+00,4.643332e-10,-2.223894e-08,4.347472e-10,2.881759e-07,4.324770e-10,2.071495e-06,4.577310e-10,2.717826e-04
-2.70000e+00,5.185358e-10,-1.571494e-07,4.385425e-10,1.469248e-07,4.334560e-10,2.381975e-06,4.588880e-10,2.718579e-04
-2.68500e+00,4.595059e-10,1.145920e-07,4.322752e-10,5.568605e-07,4.333706e-10,2.164610e-06,4.595945e-10,2.739723e-04
