Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-2.16000e+00,4.916245e-10,4.227626e-07,4.885423e-10,4.425580e-07,4.586198e-10,5.015916e-05,1.133667e-10,1.293023e-03
-2.14000e+00,4.898750e-10,7.640835e-07,4.821835e-10,8.187309e-07,4.601408e-10,5.053210e-05,1.134093e-10,1.293877e-03
-2.12000e+00,4.868901e-10,4.654778e-07,4.953962e-10,9.593111e-07,4.613329e-10,5.083750e-05,1.132897e-10,1.295913e-03
-2.10000e+00,4.878077e-10,2.048875e-07,4.952023e-10,7.054699e-07,4.610123e-10,5.072328e-05,1.133728e-10,1.297050e-03
-2.08000e+00,4.944520e-10,5.627905e-07,4.880134e-10,8.367426e-07,4.624032e-10,5.079554e-05,1.133355e-10,1.298854e-03
-2.06000e+00,4.897571e-10,3.429999e-07,4.919115e-10,2.491831e-07,4.630883e-10,5.126620e-05,1.130063e-10,1.300163e-03
-2.04000e+00,4.922414e-10,7.568953e-07,5.031409e-10,5.162619e-07,4.638863e-10,5.133735e-05,1.127056e-10,1.299873e-03
-2.02000e+00,4.999048e-10,6.451566e-07,4.936431e-10,9.336593e-07,4.648120e-10,5.149476e-05,1.129419e-10,1.302639e-03
-2.00000e+00,4.951352e-10,1.019779e-06,4.948775e-10,6.577779e-07,4.657242e-10,5.197804e-05,1.129212e-10,1.304812e-03
-1.98000e+00,4.971297e-10,5.426190e-07,4.992907e-10,3.188150e-07,4.675330e-10,5.204216e-05,1.129031e-10,1.304628e-03
-1.96000e+00,5.000711e-10,6.484591e-07,5.012134e-10,8.721403e-07,4.677801e-10,5.179568e-05,1.126273e-10,1.306900e-03
-1.94000e+00,5.078484e-10,1.020172e-06,4.995478e-10,4.407800e-07,4.686654e-10,5.232684e-05,1.125027e-10,1.307356e-03
-1.92000e+00,5.075118e-10,8.935467e-07,5.050141e-10,4.029524e-07,4.690189e-10,5.234712e-05,1.122020e-10,1.308277e-03
