Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,4.374575e-10,-5.169829e-08,4.189158e-10,-3.478924e-08,4.176838e-10,1.685798e-06,4.438705e-10,1.819411e-04
-2.98500e+00,3.777904e-10,-5.459247e-08,4.208508e-10,7.360170e-09,4.197166e-10,2.276016e-06,4.448041e-10,1.841805e-04
-2.97000e+00,4.442048e-10,2.619822e-07,4.200208e-10,7.043223e-10,4.198115e-10,1.885480e-06,4.454010e-10,1.832949e-04
-2.95500e+00,4.458978e-10,5.074332e-07,4.316001e-10,3.723321e-08,4.206339e-10,2.186346e-06,4.465363e-10,1.846754e-04
-2.94000e+00,4.805262e-10,-1.002731e-07,4.231986e-10,4.469651e-07,4.206807e-10,2.051010e-06,4.473620e-10,1.829621e-04
-2.92500e+00,4.101755e-10,6.092092e-08,4.262125e-10,-2.923542e-07,4.226425e-10,2.058281e-06,4.481777e-10,1.864127e-04
-2.91000e+00,3.832142e-10,-1.128858e-07,4.310699e-10,-1.764549e-07,4.226247e-10,2.255979e-06,4.485386e-10,1.857412e-04
-2.89500e+00,4.523487e-10,5.233042e-07,4.208145e-10,-1.576865e-07,4.233025e-10,2.018219e-06,4.493866e-10,1.858933e-04
-2.88000e+00,4.461338e-10,-1.593935e-07,4.231158e-10,4.267078e-07,4.237061e-10,2.093488e-06,4.503423e-10,1.880156e-04
-2.86500e+00,4.313919e-10,1.442951e-07,4.322118e-10,2.291516e-07,4.247799e-10,1.988545e-06,4.513409e-10,1.884499e-04
-2.85000e+00,3.910034e-10,-1.912527e-07,4.262577e-10,-2.062361e-07,4.256940e-10,2.077464e-06,4.516451e-10,1.887436e-04
-2.83500e+00,4.515708e-10,1.495069e-07,4.352246e-10,2.538970e-07,4.258324e-10,1.823149e-06,4.525600e-10,1.906344e-04
-2.82000e+00,4.321753e-10,-1.244001e-07,4.298597e-10,-4.303093e-08,4.266091e-10,2.129535e-06,4.532984e-10,1.884552e-04
-2.80500e+00,4.608996e-10,1.157673e-07,4.329554e-10,-1.420606e-07,4.275602e-10,2.082671e-06,4.542635e-10,1.912414e-04
-2.79000e+00,4.490383e-10,-1.478691e-07,4.343048e-10,-5.217956e-08,4.288319e-10,2.530473e-06,4.550140e-10,1.925732e-04
-2.77500e+00,4.579345e-10,-4.158981e-08,4.330383e-10,4.636047e-07,4.294312e-10,2.051505e-06,4.559001e-10,1.908988e-04
-2.76000e+00,4.294601e-10,5.134152e-08,4.325774e-10,2.699735e-09,4.292076e-10,1.720716e-06,4.563351e-10,1.928781e-04
-2.74500e+00,4.434481e-10,-1.246639e-07,4.381617e-10,-1.818829e-07,4.299386e-10,2.200509e-06,4.570395e-10,1.927859e-04
-2.73000e+00,4.261921e-10,-2.012821e-07,4.381342e-10,-1.501115e-07,4.305561e-10,2.325837e-06,4.581185e-10,1.946124e-04
