"Bias, V",Current_300K,Current_250K,Current_200K,Current_150K,Current_100K,Current_50K
"-2,50E-01","-9,43E-09","-1,54E-10","-6,20E-11","1,20E-11","9,00E-12","6,00E-12"
"-2,00E-01","-7,65E-09","-2,80E-11","-1,50E-11","2,50E-11","1,00E-11","1,10E-11"
"-1,50E-01","-5,75E-09","-1,48E-10","0,00E+00","9,00E-12","3,00E-12","-2,60E-11"
"-1,00E-01","-3,82E-09","-1,02E-10","5,00E-11","2,40E-11","1,30E-11","-9,00E-12"
"-5,00E-02","-2,08E-09","-1,16E-10","-2,60E-11","-3,00E-12","-4,30E-11","0,00E+00"
"0,00E+00","1,96E-10","-5,70E-11","-1,00E-11","7,00E-12","-1,30E-11","-3,00E-12"
"5,00E-02","3,94E-09","1,39E-10","-2,20E-11","2,20E-11","3,00E-12","5,00E-12"
"1,00E-01","1,19E-08","5,87E-10","4,90E-11","1,20E-11","4,90E-11","-3,00E-12"
"1,50E-01","3,26E-08","1,86E-09","2,39E-10","7,00E-12","-5,00E-12","-3,30E-11"
"2,00E-01","8,22E-08","5,86E-09","1,21E-09","1,50E-11","0,00E+00","-2,10E-11"
"2,50E-01","1,97E-07","1,64E-08","4,35E-09","9,30E-11","-4,30E-11","2,00E-12"
"3,00E-01","4,15E-07","4,13E-08","1,27E-08","4,48E-10","5,00E-12","4,70E-11"
"3,50E-01","9,53E-07","1,05E-07","3,64E-08","2,20E-09","1,90E-11","0,00E+00"
"4,00E-01","2,06E-06","2,19E-07","9,51E-08","8,05E-09","1,71E-10","5,00E-12"
"4,50E-01","4,12E-06","5,05E-07","1,59E-07","2,38E-08","6,16E-10","-1,40E-11"
"5,00E-01","8,26E-06","1,14E-06","4,16E-07","6,90E-08","3,58E-09","4,00E-12"
"5,50E-01","1,58E-05","2,38E-06","9,45E-07","1,79E-07","1,44E-08","1,42E-10"
"6,00E-01","2,92E-05","4,77E-06","2,07E-06","2,95E-07","5,13E-08","1,48E-09"
"6,50E-01","4,97E-05","8,63E-06","3,95E-06","7,18E-07","1,48E-07","6,92E-09"
"7,00E-01","8,39E-05","1,56E-05","7,57E-06","1,64E-06","2,46E-07","2,92E-08"
"7,50E-01","1,37E-04","2,72E-05","1,38E-05","3,39E-06","7,39E-07","1,08E-07"
"8,00E-01","2,09E-04","4,41E-05","2,30E-05","6,42E-06","1,73E-06","2,19E-07"
"8,50E-01","3,34E-04","7,14E-05","3,89E-05","1,20E-05","3,73E-06","6,86E-07"
"9,00E-01","4,87E-04","1,12E-04","6,32E-05","2,09E-05","7,51E-06","1,60E-06"
"9,50E-01","6,99E-04","1,71E-04","9,93E-05","3,62E-05","1,40E-05","3,23E-06"
"1,00E+00","9,61E-04","2,48E-04","1,48E-04","5,78E-05","2,37E-05","6,32E-06"
"1,05E+00","1,32E-03","3,60E-04","2,23E-04","9,29E-05","4,04E-05","1,19E-05"
"1,10E+00","1,79E-03","5,15E-04","3,27E-04","1,45E-04","6,58E-05","2,13E-05"
"1,15E+00","2,36E-03","7,09E-04","4,63E-04","2,16E-04","1,01E-04","3,55E-05"
"1,20E+00","3,06E-03","9,86E-04","6,64E-04","3,24E-04","1,56E-04","6,02E-05"
"1,25E+00","3,90E-03","1,35E-03","9,37E-04","4,78E-04","2,39E-04","9,83E-05"
"1,30E+00","4,91E-03","1,83E-03","1,30E-03","6,93E-04","3,56E-04","1,56E-04"
"1,35E+00","6,01E-03","2,40E-03","1,75E-03","9,65E-04","5,11E-04","2,36E-04"
"1,40E+00","7,34E-03","3,16E-03","2,38E-03","1,34E-03","7,37E-04","3,55E-04"
"1,45E+00","8,83E-03","4,10E-03","3,18E-03","1,84E-03","1,04E-03","5,18E-04"
"1,50E+00","1,04E-02","5,18E-03","4,10E-03","2,40E-03","1,42E-03","7,18E-04"
"1,55E+00","1,09E-02","6,55E-03","5,29E-03","3,17E-03","1,92E-03","9,89E-04"
"1,60E+00","1,10E-02","8,15E-03","6,71E-03","4,06E-03","2,54E-03","1,32E-03"
"1,65E+00","1,11E-02","1,00E-02","8,37E-03","5,10E-03","3,31E-03","1,72E-03"
"1,70E+00","1,11E-02","1,08E-02","1,01E-02","6,21E-03","4,14E-03","2,15E-03"
"1,75E+00","1,11E-02","1,10E-02","1,09E-02","7,54E-03","5,16E-03","2,68E-03"
"1,80E+00","1,12E-02","1,10E-02","1,10E-02","8,99E-03","6,33E-03","3,29E-03"
"1,85E+00","1,12E-02","1,11E-02","1,10E-02","1,05E-02","7,64E-03","3,98E-03"
