Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,5.551429e-10,-5.072623e-08,5.325547e-10,5.503294e-07,5.291133e-10,1.275897e-06,5.715170e-10,2.277671e-04
-2.98500e+00,5.240265e-10,2.624597e-07,5.490171e-10,-7.606619e-08,5.325870e-10,1.256052e-06,5.755955e-10,2.307601e-04
-2.97000e+00,5.413841e-10,1.049081e-07,5.384044e-10,4.956492e-07,5.352370e-10,1.183567e-06,5.774400e-10,2.330935e-04
-2.95500e+00,5.180066e-10,1.270851e-07,5.470828e-10,-3.242501e-07,5.354222e-10,1.540233e-06,5.796630e-10,2.341746e-04
-2.94000e+00,5.284419e-10,4.983843e-08,5.458708e-10,4.272368e-09,5.380307e-10,1.393640e-06,5.814450e-10,2.354467e-04
-2.92500e+00,5.144407e-10,-1.859493e-07,5.373059e-10,2.927137e-08,5.390764e-10,1.235028e-06,5.833313e-10,2.369284e-04
-2.91000e+00,5.179048e-10,-8.987740e-08,5.395211e-10,2.420839e-07,5.406081e-10,2.070366e-06,5.845731e-10,2.359360e-04
-2.89500e+00,5.260961e-10,-5.793969e-08,5.432438e-10,-1.954041e-07,5.402192e-10,1.354079e-06,5.860298e-10,2.391160e-04
-2.88000e+00,5.708695e-10,7.706913e-09,5.434339e-10,1.189826e-07,5.422165e-10,1.706870e-06,5.874919e-10,2.394696e-04
-2.86500e+00,5.806169e-10,-1.031357e-07,5.408791e-10,-9.307326e-08,5.441626e-10,1.813403e-06,5.889672e-10,2.399483e-04
-2.85000e+00,5.501334e-10,-8.605370e-08,5.526232e-10,-2.566557e-08,5.446192e-10,9.121137e-07,5.901196e-10,2.423659e-04
-2.83500e+00,5.652567e-10,7.123271e-08,5.495284e-10,-1.120208e-07,5.464884e-10,1.069806e-06,5.914216e-10,2.438243e-04
-2.82000e+00,5.188175e-10,1.192589e-07,5.482078e-10,1.314460e-07,5.474243e-10,9.766878e-07,5.924942e-10,2.447363e-04
-2.80500e+00,5.282457e-10,-1.301567e-07,5.572110e-10,-1.391510e-07,5.484173e-10,1.876056e-06,5.939872e-10,2.458282e-04
-2.79000e+00,5.802555e-10,1.524667e-07,5.596666e-10,1.980154e-08,5.495521e-10,1.599389e-06,5.950659e-10,2.446654e-04
-2.77500e+00,5.779099e-10,1.288537e-08,5.503712e-10,-2.479278e-07,5.506245e-10,1.704425e-06,5.959224e-10,2.473347e-04
-2.76000e+00,5.453547e-10,1.306623e-07,5.610267e-10,4.179397e-08,5.522608e-10,1.875423e-06,5.977560e-10,2.460714e-04
-2.74500e+00,5.362508e-10,2.008131e-07,5.607245e-10,7.362566e-08,5.526248e-10,1.733561e-06,5.989354e-10,2.507996e-04
