Bias,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
3.60000e-01,1.149857e-09,2.564036e-06,1.308925e-09,1.087852e-03
3.75000e-01,1.163427e-09,2.786353e-06,1.319233e-09,1.108929e-03
3.90000e-01,1.182353e-09,2.941889e-06,1.330369e-09,1.130693e-03
4.05000e-01,1.184742e-09,4.262744e-06,1.340860e-09,1.154766e-03
4.20000e-01,1.200840e-09,5.178274e-06,1.352739e-09,1.177090e-03
4.35000e-01,1.214954e-09,6.537875e-06,1.364686e-09,1.203179e-03
4.50000e-01,1.236313e-09,7.689942e-06,1.376383e-09,1.230927e-03
4.65000e-01,1.252825e-09,9.285939e-06,1.389080e-09,1.260613e-03
4.80000e-01,1.269305e-09,1.086965e-05,1.401923e-09,1.294977e-03
4.95000e-01,1.297268e-09,1.354983e-05,1.414857e-09,1.331222e-03
5.10000e-01,1.318372e-09,1.639297e-05,1.428489e-09,1.368965e-03
5.25000e-01,1.339823e-09,1.999420e-05,1.442151e-09,1.412904e-03
5.40000e-01,1.364401e-09,2.430984e-05,1.457011e-09,1.452461e-03
5.55000e-01,1.397240e-09,2.892389e-05,1.471162e-09,1.503068e-03
5.70000e-01,1.426568e-09,3.480235e-05,1.486216e-09,1.554382e-03
5.85000e-01,1.457752e-09,4.179283e-05,1.502226e-09,1.609835e-03
6.00000e-01,1.485979e-09,4.923036e-05,1.518276e-09,1.673018e-03
6.15000e-01,1.525568e-09,5.865691e-05,1.534791e-09,1.738823e-03
6.30000e-01,1.579746e-09,6.961588e-05,1.551448e-09,1.809781e-03
6.45000e-01,1.623085e-09,8.252967e-05,1.568377e-09,1.892165e-03
6.60000e-01,1.676733e-09,9.631374e-05,1.586569e-09,1.971328e-03
6.75000e-01,1.733638e-09,1.131283e-04,1.603905e-09,2.064839e-03
6.90000e-01,1.787937e-09,1.321742e-04,1.622710e-09,2.161185e-03
7.05000e-01,1.863214e-09,1.537780e-04,1.641820e-09,2.271498e-03
7.20000e-01,1.917773e-09,1.778729e-04,1.660370e-09,2.391311e-03
7.35000e-01,2.010174e-09,2.060554e-04,1.679309e-09,2.509898e-03
7.50000e-01,2.087225e-09,2.371330e-04,1.699399e-09,2.648651e-03
7.65000e-01,2.181680e-09,2.731071e-04,1.718514e-09,2.796845e-03
7.80000e-01,2.280084e-09,3.113124e-04,1.738033e-09,2.958033e-03
7.95000e-01,2.389577e-09,3.563157e-04,1.757120e-09,3.126464e-03
8.10000e-01,2.497729e-09,4.070388e-04,1.776237e-09,3.314069e-03
8.25000e-01,2.647797e-09,4.636720e-04,1.795543e-09,3.515435e-03
8.40000e-01,2.741626e-09,5.247744e-04,1.813741e-09,3.728801e-03
8.55000e-01,2.868623e-09,5.942706e-04,1.831384e-09,3.958140e-03
8.70000e-01,3.047297e-09,6.705406e-04,1.848798e-09,4.205160e-03
8.85000e-01,3.176081e-09,7.541712e-04,1.865454e-09,4.471962e-03
9.00000e-01,3.334754e-09,8.463793e-04,1.879830e-09,4.756689e-03
9.15000e-01,3.513275e-09,9.503749e-04,1.894052e-09,5.057771e-03
9.30000e-01,3.699599e-09,1.061319e-03,1.906393e-09,5.384742e-03
9.45000e-01,3.902100e-09,1.185031e-03,1.916963e-09,5.730441e-03
9.60000e-01,4.100484e-09,1.319012e-03,1.925385e-09,6.089195e-03
9.75000e-01,4.307390e-09,1.464186e-03,1.931592e-09,6.475809e-03
9.90000e-01,4.570229e-09,1.627856e-03,1.935558e-09,6.888612e-03
1.00500e+00,4.775483e-09,1.798382e-03,1.937065e-09,7.318870e-03
1.02000e+00,5.036479e-09,1.992982e-03,1.934533e-09,7.776786e-03
1.03500e+00,5.237553e-09,2.194068e-03,1.929803e-09,8.252366e-03
1.05000e+00,5.453084e-09,2.420519e-03,1.921196e-09,8.755315e-03
1.06500e+00,5.746112e-09,2.657784e-03,1.908707e-09,9.276333e-03
1.08000e+00,5.995287e-09,2.932426e-03,1.890848e-09,9.826374e-03
1.09500e+00,6.360491e-09,3.205184e-03,1.869775e-09,1.039471e-02
1.11000e+00,6.642309e-09,3.510798e-03,1.843251e-09,1.097714e-02
1.12500e+00,6.903990e-09,3.845686e-03,1.811736e-09,1.157763e-02
1.14000e+00,7.141479e-09,4.192832e-03,1.774223e-09,1.220787e-02
1.15500e+00,7.498040e-09,4.577838e-03,1.732460e-09,1.283888e-02
