Bias,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
-1.86000e+00,6.411690e-10,2.076994e-07,7.014611e-10,3.252608e-04
-1.84500e+00,6.410903e-10,-5.687404e-08,7.032323e-10,3.260479e-04
-1.83000e+00,6.423406e-10,9.684759e-08,7.046945e-10,3.275802e-04
-1.81500e+00,6.460352e-10,-2.110924e-07,7.063929e-10,3.281386e-04
-1.80000e+00,6.479521e-10,-2.094342e-08,7.086938e-10,3.269032e-04
-1.78500e+00,6.446419e-10,-1.315281e-07,7.100299e-10,3.305544e-04
-1.77000e+00,6.560202e-10,-2.023965e-07,7.118919e-10,3.330016e-04
-1.75500e+00,6.513694e-10,2.993008e-07,7.137737e-10,3.352911e-04
-1.74000e+00,6.501489e-10,1.639752e-07,7.159542e-10,3.352752e-04
-1.72500e+00,6.580425e-10,1.298366e-07,7.172855e-10,3.371117e-04
-1.71000e+00,6.561123e-10,1.793732e-07,7.196887e-10,3.389860e-04
-1.69500e+00,6.600944e-10,4.241743e-07,7.211955e-10,3.403876e-04
-1.68000e+00,6.556129e-10,6.276906e-08,7.229060e-10,3.424570e-04
-1.66500e+00,6.586399e-10,2.625231e-07,7.249176e-10,3.427704e-04
-1.65000e+00,6.728962e-10,-7.739938e-08,7.267333e-10,3.458146e-04
-1.63500e+00,6.646024e-10,3.887347e-07,7.285058e-10,3.467665e-04
-1.62000e+00,6.706160e-10,4.012896e-07,7.304262e-10,3.505523e-04
-1.60500e+00,6.647204e-10,-5.961052e-08,7.325361e-10,3.506014e-04
-1.59000e+00,6.747956e-10,-8.965203e-08,7.344378e-10,3.536422e-04
-1.57500e+00,6.719503e-10,5.382319e-08,7.368028e-10,3.564112e-04
-1.56000e+00,6.743072e-10,-1.388104e-07,7.386534e-10,3.568503e-04
-1.54500e+00,6.747697e-10,3.854148e-07,7.403458e-10,3.582746e-04
-1.53000e+00,6.763569e-10,3.997733e-07,7.428997e-10,3.616644e-04
-1.51500e+00,6.801048e-10,3.984565e-07,7.440957e-10,3.618058e-04
-1.50000e+00,6.790106e-10,-3.768710e-08,7.464950e-10,3.675068e-04
-1.48500e+00,6.744311e-10,1.124968e-07,7.488941e-10,3.676882e-04
-1.47000e+00,6.853474e-10,-2.139249e-08,7.509682e-10,3.671877e-04
-1.45500e+00,6.865678e-10,5.225560e-09,7.528979e-10,3.682735e-04
-1.44000e+00,6.786721e-10,1.584382e-07,7.551043e-10,3.720304e-04
-1.42500e+00,6.879124e-10,-1.341235e-07,7.572303e-10,3.737716e-04
-1.41000e+00,6.869517e-10,-2.986386e-07,7.593157e-10,3.746266e-04
-1.39500e+00,6.919519e-10,-2.134502e-07,7.614309e-10,3.787253e-04
-1.38000e+00,6.916560e-10,5.699059e-08,7.637722e-10,3.799404e-04
-1.36500e+00,6.979036e-10,1.307187e-07,7.658830e-10,3.831201e-04
-1.35000e+00,6.970837e-10,6.913264e-08,7.681774e-10,3.849161e-04
-1.33500e+00,6.952039e-10,4.515269e-07,7.702853e-10,3.876871e-04
-1.32000e+00,7.021312e-10,-1.168541e-07,7.726905e-10,3.894310e-04
-1.30500e+00,7.046947e-10,3.154860e-07,7.747292e-10,3.928916e-04
-1.29000e+00,7.018068e-10,2.010567e-07,7.772925e-10,3.918140e-04
-1.27500e+00,7.029639e-10,4.120351e-08,7.795539e-10,3.955124e-04
-1.26000e+00,7.099119e-10,-4.272714e-08,7.818963e-10,3.984793e-04
-1.24500e+00,7.142935e-10,1.020054e-07,7.840625e-10,4.004520e-04
-1.23000e+00,7.117958e-10,2.894768e-08,7.866546e-10,4.006478e-04
-1.21500e+00,7.127224e-10,4.950689e-08,7.886270e-10,4.055923e-04
-1.20000e+00,7.186913e-10,-5.623334e-07,7.911163e-10,4.081433e-04
-1.18500e+00,7.165347e-10,1.167435e-07,7.937984e-10,4.107584e-04
-1.17000e+00,7.236467e-10,-4.936305e-07,7.964311e-10,4.101532e-04
-1.15500e+00,7.257823e-10,-2.640166e-07,7.983622e-10,4.126679e-04
-1.14000e+00,7.191163e-10,1.142230e-07,8.010995e-10,4.156980e-04
-1.12500e+00,7.274491e-10,3.253166e-07,8.037168e-10,4.176058e-04
