Bias,Capacity_1K,Conductivity_1K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,4.816977e-10,1.911778e-07,4.997109e-10,4.189945e-06,5.303149e-10,2.190363e-04
-2.98200e+00,4.809922e-10,-1.409301e-08,5.023978e-10,4.256986e-06,5.336523e-10,2.227908e-04
-2.96500e+00,5.108989e-10,-1.691216e-07,5.046651e-10,4.192686e-06,5.364754e-10,2.227962e-04
-2.94700e+00,5.479240e-10,-1.160303e-07,5.063349e-10,4.136422e-06,5.386271e-10,2.261809e-04
-2.93000e+00,5.117393e-10,9.898526e-08,5.069424e-10,4.053364e-06,5.397267e-10,2.283359e-04
-2.91200e+00,5.309123e-10,-2.684258e-07,5.087102e-10,3.583088e-06,5.415593e-10,2.261080e-04
-2.89500e+00,5.109066e-10,-7.890827e-08,5.107152e-10,4.182451e-06,5.428116e-10,2.283209e-04
-2.87700e+00,5.740012e-10,-1.258021e-07,5.115056e-10,3.890663e-06,5.441159e-10,2.318915e-04
-2.86000e+00,5.410315e-10,1.079433e-07,5.131622e-10,4.152672e-06,5.456334e-10,2.303185e-04
-2.84200e+00,5.315873e-10,1.298694e-08,5.153040e-10,4.421816e-06,5.470838e-10,2.310066e-04
-2.82500e+00,5.272233e-10,1.041452e-08,5.154364e-10,4.167213e-06,5.481718e-10,2.339965e-04
-2.80700e+00,5.409287e-10,9.056668e-09,5.164252e-10,4.136195e-06,5.497466e-10,2.346248e-04
-2.79000e+00,5.560001e-10,3.740485e-07,5.180461e-10,4.385433e-06,5.511202e-10,2.340134e-04
-2.77200e+00,5.814206e-10,-3.644238e-07,5.197764e-10,5.002532e-06,5.519689e-10,2.366252e-04
-2.75500e+00,5.133891e-10,8.892253e-08,5.191346e-10,4.520902e-06,5.532649e-10,2.362109e-04
-2.73700e+00,5.284110e-10,4.546516e-08,5.205107e-10,3.995191e-06,5.545664e-10,2.380501e-04
-2.72000e+00,5.466690e-10,-1.099834e-07,5.220637e-10,3.677995e-06,5.554114e-10,2.384998e-04
-2.70200e+00,6.102026e-10,7.457155e-08,5.234541e-10,4.109352e-06,5.570202e-10,2.399468e-04
-2.68500e+00,5.314046e-10,1.598594e-07,5.240649e-10,4.221682e-06,5.582348e-10,2.406659e-04
-2.66700e+00,6.061164e-10,9.536453e-08,5.251678e-10,4.458645e-06,5.596826e-10,2.405305e-04
-2.65000e+00,5.470072e-10,1.535142e-07,5.265051e-10,4.390290e-06,5.607971e-10,2.430819e-04
-2.63200e+00,5.527914e-10,-8.078592e-08,5.277512e-10,4.570915e-06,5.618372e-10,2.453118e-04
-2.61500e+00,5.807878e-10,-3.736271e-08,5.295909e-10,4.313573e-06,5.626383e-10,2.446127e-04
-2.59700e+00,5.283440e-10,2.580757e-08,5.303776e-10,4.231927e-06,5.645376e-10,2.436654e-04
-2.58000e+00,5.492156e-10,4.820153e-08,5.320021e-10,4.814871e-06,5.653347e-10,2.465317e-04
-2.56200e+00,5.755100e-10,-1.243989e-07,5.320983e-10,4.771674e-06,5.667903e-10,2.474767e-04
-2.54500e+00,5.770261e-10,-5.196274e-08,5.331730e-10,4.390033e-06,5.679419e-10,2.472449e-04
-2.52700e+00,5.823797e-10,9.418882e-08,5.341390e-10,4.382144e-06,5.692804e-10,2.485796e-04
-2.51000e+00,6.099493e-10,6.931614e-08,5.339738e-10,4.103542e-06,5.704857e-10,2.511429e-04
-2.49200e+00,5.826594e-10,-2.520000e-07,5.357630e-10,4.668202e-06,5.717279e-10,2.535958e-04
-2.47500e+00,5.383303e-10,-5.407292e-08,5.372336e-10,4.239118e-06,5.729696e-10,2.537258e-04
-2.45700e+00,5.393864e-10,-6.559680e-08,5.383493e-10,4.557766e-06,5.742156e-10,2.558601e-04
-2.44000e+00,5.739434e-10,-1.544090e-08,5.408995e-10,4.361824e-06,5.753494e-10,2.568537e-04
