Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
-2.19000e+00,6.078412e-10,1.760354e-07,6.439552e-10,2.781385e-07,6.915151e-10,3.174567e-04
-2.17500e+00,6.434670e-10,1.609809e-07,6.530463e-10,5.222231e-08,6.933278e-10,3.184487e-04
-2.16000e+00,6.333586e-10,2.847099e-07,6.490866e-10,4.314504e-08,6.953066e-10,3.217749e-04
-2.14500e+00,6.582871e-10,-7.153758e-08,6.545891e-10,-1.455760e-07,6.967357e-10,3.218258e-04
-2.13000e+00,6.185792e-10,1.737023e-07,6.589817e-10,2.736927e-07,6.987174e-10,3.235444e-04
-2.11500e+00,6.815041e-10,-1.222038e-07,6.596774e-10,5.772992e-08,7.003222e-10,3.291534e-04
-2.10000e+00,6.539279e-10,3.923617e-08,6.582571e-10,4.976234e-07,7.020292e-10,3.269931e-04
-2.08500e+00,6.451282e-10,-9.987766e-08,6.626144e-10,8.915704e-08,7.040606e-10,3.243658e-04
-2.07000e+00,6.842898e-10,9.827016e-08,6.640207e-10,-5.133867e-07,7.056170e-10,3.318629e-04
-2.05500e+00,6.560117e-10,5.502977e-08,6.629419e-10,-8.903282e-08,7.076102e-10,3.315572e-04
-2.04000e+00,6.576810e-10,-7.292061e-08,6.649142e-10,-4.907298e-07,7.095772e-10,3.331192e-04
-2.02500e+00,6.394522e-10,6.054335e-08,6.706661e-10,2.607563e-07,7.112380e-10,3.327762e-04
-2.01000e+00,6.516282e-10,1.681856e-07,6.720745e-10,1.302131e-07,7.127182e-10,3.357038e-04
-1.99500e+00,6.467465e-10,-1.914565e-07,6.713923e-10,1.327469e-07,7.146713e-10,3.384434e-04
-1.98000e+00,6.443830e-10,7.675558e-08,6.735246e-10,-9.880905e-08,7.165051e-10,3.412117e-04
-1.96500e+00,6.370127e-10,1.293267e-07,6.818262e-10,-2.141300e-07,7.180899e-10,3.396501e-04
-1.95000e+00,6.999483e-10,6.581693e-09,6.830677e-10,4.624364e-07,7.203033e-10,3.435696e-04
-1.93500e+00,6.825021e-10,2.144358e-07,6.814769e-10,-2.217189e-07,7.221568e-10,3.452358e-04
-1.92000e+00,6.712228e-10,5.447963e-08,6.820873e-10,7.102540e-07,7.242050e-10,3.468617e-04
-1.90500e+00,6.906929e-10,4.591275e-08,6.878111e-10,1.409509e-07,7.259054e-10,3.469978e-04
-1.89000e+00,6.695772e-10,1.877328e-07,6.921185e-10,4.267718e-07,7.277363e-10,3.492837e-04
