Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
-3.00000e+00,5.211859e-10,7.358233e-08,5.273179e-10,4.981447e-07,5.519959e-10,2.398801e-04
-2.98500e+00,5.123952e-10,-1.621774e-07,5.202065e-10,1.704827e-08,5.551228e-10,2.442417e-04
-2.97000e+00,5.168230e-10,3.149691e-08,5.301836e-10,3.340988e-07,5.570329e-10,2.453812e-04
-2.95500e+00,5.313849e-10,1.743809e-07,5.257826e-10,2.167072e-07,5.588435e-10,2.462442e-04
-2.94000e+00,5.336769e-10,-8.031839e-08,5.344263e-10,1.814903e-07,5.605960e-10,2.475079e-04
-2.92500e+00,5.332164e-10,8.880351e-08,5.319916e-10,-1.188590e-08,5.616012e-10,2.487023e-04
-2.91000e+00,5.243825e-10,3.157668e-09,5.281137e-10,-9.567536e-08,5.635991e-10,2.508308e-04
-2.89500e+00,5.570622e-10,4.415158e-08,5.328413e-10,2.052593e-07,5.651755e-10,2.516540e-04
-2.88000e+00,5.447225e-10,-2.423497e-07,5.288769e-10,2.798409e-07,5.660264e-10,2.528901e-04
-2.86500e+00,5.683809e-10,1.323138e-08,5.341735e-10,2.148132e-07,5.674760e-10,2.548555e-04
-2.85000e+00,5.241486e-10,-9.700558e-08,5.384778e-10,1.731640e-07,5.685382e-10,2.556327e-04
-2.83500e+00,5.346683e-10,9.726132e-08,5.312458e-10,-1.311478e-07,5.699556e-10,2.544078e-04
-2.82000e+00,5.234104e-10,-3.866795e-08,5.325825e-10,1.008151e-07,5.709257e-10,2.557143e-04
-2.80500e+00,5.133162e-10,3.162166e-08,5.384256e-10,5.691952e-07,5.721900e-10,2.585175e-04
-2.79000e+00,5.489592e-10,1.504452e-07,5.369092e-10,5.441437e-07,5.733171e-10,2.562435e-04
-2.77500e+00,5.306067e-10,-2.901194e-07,5.411450e-10,5.347864e-07,5.745873e-10,2.574102e-04
-2.76000e+00,5.959576e-10,-3.257757e-08,5.416720e-10,-8.634292e-08,5.758485e-10,2.623489e-04
-2.74500e+00,5.517117e-10,3.120573e-07,5.433720e-10,1.753611e-08,5.767130e-10,2.626818e-04
-2.73000e+00,5.837386e-10,1.467477e-07,5.521820e-10,-3.447984e-07,5.776167e-10,2.618883e-04
-2.71500e+00,6.053000e-10,-1.689256e-07,5.437483e-10,-4.912281e-08,5.792837e-10,2.637407e-04
-2.70000e+00,5.606811e-10,-1.260724e-09,5.499648e-10,3.046520e-07,5.801354e-10,2.642196e-04
-2.68500e+00,6.055918e-10,-9.671511e-08,5.490373e-10,2.585495e-07,5.812702e-10,2.658841e-04
