Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,5.927854e-10,1.377857e-06,6.008377e-10,1.452725e-06,5.951196e-10,2.173243e-06,6.623562e-10,3.072119e-04
-2.98500e+00,6.225124e-10,9.476496e-07,6.117774e-10,1.234648e-06,6.010533e-10,1.874584e-06,6.684408e-10,3.147143e-04
-2.97000e+00,6.460215e-10,8.952635e-07,6.101363e-10,8.830633e-07,6.047009e-10,2.037838e-06,6.719990e-10,3.152960e-04
-2.95500e+00,6.139497e-10,7.340654e-07,6.087644e-10,6.798919e-07,6.062339e-10,2.484218e-06,6.751584e-10,3.182165e-04
-2.94000e+00,6.247559e-10,6.991966e-07,6.102057e-10,1.085437e-06,6.094013e-10,2.242019e-06,6.787667e-10,3.230050e-04
-2.92500e+00,6.575622e-10,6.753468e-07,6.201520e-10,1.210289e-06,6.114294e-10,2.283600e-06,6.813023e-10,3.234179e-04
-2.91000e+00,6.136922e-10,6.654583e-07,6.218003e-10,9.906171e-07,6.131978e-10,2.361224e-06,6.838549e-10,3.276161e-04
-2.89500e+00,6.554428e-10,6.704432e-07,6.220584e-10,1.126897e-06,6.155229e-10,2.487626e-06,6.863744e-10,3.260927e-04
-2.88000e+00,6.394236e-10,7.664540e-07,6.230795e-10,8.913603e-07,6.179068e-10,1.126688e-06,6.887560e-10,3.309964e-04
-2.86500e+00,6.577878e-10,4.353926e-07,6.224111e-10,1.067504e-06,6.197658e-10,2.647944e-06,6.913019e-10,3.319427e-04
-2.85000e+00,6.351262e-10,5.971850e-07,6.233616e-10,8.255520e-07,6.201556e-10,1.921166e-06,6.932497e-10,3.345454e-04
-2.83500e+00,6.556248e-10,6.341396e-07,6.229924e-10,1.178427e-06,6.238732e-10,1.563070e-06,6.955803e-10,3.362599e-04
-2.82000e+00,6.634961e-10,7.064980e-07,6.316844e-10,3.891126e-07,6.250943e-10,2.164142e-06,6.976933e-10,3.389098e-04
