Volt	Amp	¹
-3,000000E+0	-11,418000E-3	1
-2,900000E+0	-11,407500E-3	2
-2,800000E+0	-11,433500E-3	3
-2,700000E+0	-11,435700E-3	4
-2,600000E+0	-11,431600E-3	5
-2,500000E+0	-11,427200E-3	6
-2,400000E+0	-11,421200E-3	7
-2,300000E+0	-11,415200E-3	8
-2,200000E+0	-11,408700E-3	9
-2,100000E+0	-11,402400E-3	10
-2,000000E+0	-11,395600E-3	11
-1,900000E+0	-11,388100E-3	12
-1,800000E+0	-11,380400E-3	13
-1,700000E+0	-11,372100E-3	14
-1,600000E+0	-11,363500E-3	15
-1,500000E+0	-11,354000E-3	16
-1,400000E+0	-11,344200E-3	17
-1,300000E+0	-11,333600E-3	18
-1,200000E+0	-11,321500E-3	19
-1,100000E+0	-11,308900E-3	20
-1,000000E+0	-11,294400E-3	21
-900,000000E-3	-11,278800E-3	22
-800,000000E-3	-11,260300E-3	23
-700,000000E-3	-11,239900E-3	24
-600,000000E-3	-11,215500E-3	25
-500,000000E-3	-11,184800E-3	26
-400,000000E-3	-11,146600E-3	27
-300,000000E-3	-11,090900E-3	28
-200,000000E-3	-10,874600E-3	29
-100,000000E-3	-8,417800E-3	30
0,000000E+0	7,452400E-6	31
100,000000E-3	8,270400E-3	32
200,000000E-3	11,060100E-3	33
300,000000E-3	11,141800E-3	34
400,000000E-3	11,193700E-3	35
500,000000E-3	11,230000E-3	36
600,000000E-3	11,259400E-3	37
700,000000E-3	11,282900E-3	38
800,000000E-3	11,302400E-3	39
900,000000E-3	11,320600E-3	40
1,000000E+0	11,336300E-3	41
1,100000E+0	11,350700E-3	42
1,200000E+0	11,363300E-3	43
1,300000E+0	11,375200E-3	44
1,400000E+0	11,385900E-3	45
1,500000E+0	11,395600E-3	46
1,600000E+0	11,405000E-3	47
1,700000E+0	11,413400E-3	48
1,800000E+0	11,421800E-3	49
1,900000E+0	11,429400E-3	50
2,000000E+0	11,436900E-3	51
2,100000E+0	11,443700E-3	52
2,200000E+0	11,450200E-3	53
2,300000E+0	11,456400E-3	54
2,400000E+0	11,462200E-3	55
2,500000E+0	11,468100E-3	56
2,600000E+0	11,473500E-3	57
2,700000E+0	11,478900E-3	58
2,800000E+0	11,483900E-3	59
2,900000E+0	11,489000E-3	60
3,000000E+0	11,493700E-3	61
