Volt	Amp	¹
-3,000000E+0	-11,167000E-9	1
-2,950000E+0	-9,415000E-9	2
-2,900000E+0	-8,356000E-9	3
-2,850000E+0	-8,675000E-9	4
-2,800000E+0	-7,597000E-9	5
-2,750000E+0	-6,962000E-9	6
-2,700000E+0	-8,019000E-9	7
-2,650000E+0	-6,054000E-9	8
-2,600000E+0	-6,731000E-9	9
-2,550000E+0	-5,692000E-9	10
-2,500000E+0	-4,707000E-9	11
-2,450000E+0	-4,516000E-9	12
-2,400000E+0	-5,061000E-9	13
-2,350000E+0	-5,593000E-9	14
-2,300000E+0	-5,384000E-9	15
-2,250000E+0	-3,846000E-9	16
-2,200000E+0	-2,953000E-9	17
-2,150000E+0	-4,586000E-9	18
-2,100000E+0	-3,709000E-9	19
-2,050000E+0	-4,301000E-9	20
-2,000000E+0	-3,586000E-9	21
-1,950000E+0	-3,978000E-9	22
-1,900000E+0	-2,958000E-9	23
-1,850000E+0	-3,204000E-9	24
-1,800000E+0	-2,161000E-9	25
-1,750000E+0	-2,352000E-9	26
-1,700000E+0	-1,985000E-9	27
-1,650000E+0	-1,840000E-9	28
-1,600000E+0	-1,706000E-9	29
-1,550000E+0	-1,569000E-9	30
-1,500000E+0	-1,294000E-9	31
-1,450000E+0	-813,000000E-12	32
-1,400000E+0	-940,000000E-12	33
-1,350000E+0	-787,000000E-12	34
-1,300000E+0	-699,000000E-12	35
-1,250000E+0	-622,000000E-12	36
-1,200000E+0	-540,000000E-12	37
-1,150000E+0	-420,000000E-12	38
-1,100000E+0	-357,000000E-12	39
-1,050000E+0	-293,000000E-12	40
-1,000000E+0	-242,000000E-12	41
-950,000000E-3	-211,000000E-12	42
-900,000000E-3	-157,000000E-12	43
-850,000000E-3	-125,000000E-12	44
-800,000000E-3	-127,000000E-12	45
-750,000000E-3	-72,000000E-12	46
-700,000000E-3	-70,000000E-12	47
-650,000000E-3	-52,000000E-12	48
-600,000000E-3	-52,000000E-12	49
-550,000000E-3	-27,000000E-12	50
-500,000000E-3	11,000000E-12	51
-450,000000E-3	-12,000000E-12	52
-400,000000E-3	-18,000000E-12	53
-350,000000E-3	-62,000000E-12	54
-300,000000E-3	-11,000000E-12	55
-250,000000E-3	5,000000E-12	56
-200,000000E-3	112,000000E-12	57
-150,000000E-3	6,000000E-12	58
-100,000000E-3	3,000000E-12	59
-50,000000E-3	-13,000000E-12	60
0,000000E+0	-7,000000E-12	61
50,000000E-3	14,000000E-12	62
100,000000E-3	42,000000E-12	63
150,000000E-3	132,000000E-12	64
200,000000E-3	467,000000E-12	65
250,000000E-3	1,716000E-9	66
300,000000E-3	5,720000E-9	67
350,000000E-3	18,601000E-9	68
400,000000E-3	61,687000E-9	69
450,000000E-3	180,167000E-9	70
500,000000E-3	503,020000E-9	71
550,000000E-3	1,412360E-6	72
600,000000E-3	3,762100E-6	73
650,000000E-3	8,803600E-6	74
700,000000E-3	21,130000E-6	75
750,000000E-3	49,679000E-6	76
800,000000E-3	106,842000E-6	77
850,000000E-3	231,310000E-6	78
900,000000E-3	467,220000E-6	79
950,000000E-3	866,460000E-6	80
1,000000E+0	1,434530E-3	81
1,050000E+0	2,290700E-3	82
1,100000E+0	3,421100E-3	83
1,150000E+0	4,720100E-3	84
1,200000E+0	6,381900E-3	85
1,250000E+0	8,275400E-3	86
1,300000E+0	10,350400E-3	87
1,350000E+0	10,876000E-3	88
1,400000E+0	10,985900E-3	89
1,450000E+0	11,047900E-3	90
1,500000E+0	11,088400E-3	91
1,550000E+0	11,122000E-3	92
1,600000E+0	11,149000E-3	93
1,650000E+0	11,171800E-3	94
1,700000E+0	11,190100E-3	95
1,750000E+0	11,207500E-3	96
1,800000E+0	11,222900E-3	97
1,850000E+0	11,236800E-3	98
1,900000E+0	11,248700E-3	99
1,950000E+0	11,260400E-3	100
2,000000E+0	11,271100E-3	101
