Volt	Amp	¹
-3,000000E+0	-313,770000E-9	1
-2,950000E+0	-290,770000E-9	2
-2,900000E+0	-272,060000E-9	3
-2,850000E+0	-268,370000E-9	4
-2,800000E+0	-264,540000E-9	5
-2,750000E+0	-268,020000E-9	6
-2,700000E+0	-256,260000E-9	7
-2,650000E+0	-254,710000E-9	8
-2,600000E+0	-242,300000E-9	9
-2,550000E+0	-231,540000E-9	10
-2,500000E+0	-233,680000E-9	11
-2,450000E+0	-210,400000E-9	12
-2,400000E+0	-211,450000E-9	13
-2,350000E+0	-201,720000E-9	14
-2,300000E+0	-192,558000E-9	15
-2,250000E+0	-189,084000E-9	16
-2,200000E+0	-174,087000E-9	17
-2,150000E+0	-163,662000E-9	18
-2,100000E+0	-165,109000E-9	19
-2,050000E+0	-153,383000E-9	20
-2,000000E+0	-162,411000E-9	21
-1,950000E+0	-155,695000E-9	22
-1,900000E+0	-153,860000E-9	23
-1,850000E+0	-145,714000E-9	24
-1,800000E+0	-143,107000E-9	25
-1,750000E+0	-135,446000E-9	26
-1,700000E+0	-127,277000E-9	27
-1,650000E+0	-129,813000E-9	28
-1,600000E+0	-125,835000E-9	29
-1,550000E+0	-121,790000E-9	30
-1,500000E+0	-110,848000E-9	31
-1,450000E+0	-107,782000E-9	32
-1,400000E+0	-101,152000E-9	33
-1,350000E+0	-100,240000E-9	34
-1,300000E+0	-95,966000E-9	35
-1,250000E+0	-94,721000E-9	36
-1,200000E+0	-88,038000E-9	37
-1,150000E+0	-88,546000E-9	38
-1,100000E+0	-81,169000E-9	39
-1,050000E+0	-79,237000E-9	40
-1,000000E+0	-69,993000E-9	41
-950,000000E-3	-71,144000E-9	42
-900,000000E-3	-66,349000E-9	43
-850,000000E-3	-56,640000E-9	44
-800,000000E-3	-54,623000E-9	45
-750,000000E-3	-47,818000E-9	46
-700,000000E-3	-43,620000E-9	47
-650,000000E-3	-37,178000E-9	48
-600,000000E-3	-31,832000E-9	49
-550,000000E-3	-26,591000E-9	50
-500,000000E-3	-20,526000E-9	51
-450,000000E-3	-17,271000E-9	52
-400,000000E-3	-15,883000E-9	53
-350,000000E-3	-13,499000E-9	54
-300,000000E-3	-10,065000E-9	55
-250,000000E-3	-7,898000E-9	56
-200,000000E-3	-5,738000E-9	57
-150,000000E-3	-4,132000E-9	58
-100,000000E-3	-2,901000E-9	59
-50,000000E-3	-1,723000E-9	60
0,000000E+0	-44,000000E-12	61
50,000000E-3	3,968000E-9	62
100,000000E-3	13,599000E-9	63
150,000000E-3	39,689000E-9	64
200,000000E-3	105,847000E-9	65
250,000000E-3	255,960000E-9	66
300,000000E-3	552,210000E-9	67
350,000000E-3	1,252790E-6	68
400,000000E-3	2,719300E-6	69
450,000000E-3	5,584400E-6	70
500,000000E-3	11,878200E-6	71
550,000000E-3	24,979000E-6	72
600,000000E-3	51,933000E-6	73
650,000000E-3	100,895000E-6	74
700,000000E-3	197,151000E-6	75
750,000000E-3	371,800000E-6	76
800,000000E-3	623,850000E-6	77
850,000000E-3	1,022590E-3	78
900,000000E-3	1,581520E-3	79
950,000000E-3	2,315400E-3	80
1,000000E+0	3,156000E-3	81
1,050000E+0	4,230100E-3	82
1,100000E+0	5,483800E-3	83
1,150000E+0	6,795500E-3	84
1,200000E+0	8,371000E-3	85
1,250000E+0	10,077500E-3	86
1,300000E+0	10,857700E-3	87
1,350000E+0	10,979100E-3	88
1,400000E+0	11,047500E-3	89
1,450000E+0	11,093600E-3	90
1,500000E+0	11,126300E-3	91
1,550000E+0	11,154400E-3	92
1,600000E+0	11,177800E-3	93
1,650000E+0	11,197800E-3	94
1,700000E+0	11,214300E-3	95
1,750000E+0	11,230000E-3	96
1,800000E+0	11,244000E-3	97
1,850000E+0	11,256800E-3	98
1,900000E+0	11,267700E-3	99
1,950000E+0	11,278600E-3	100
2,000000E+0	11,288600E-3	101
