Volt	Amp	¹
-3,000000E+0	-13,751000E-9	1
-2,950000E+0	-13,758000E-9	2
-2,900000E+0	-12,232000E-9	3
-2,850000E+0	-12,049000E-9	4
-2,800000E+0	-10,869000E-9	5
-2,750000E+0	-9,054000E-9	6
-2,700000E+0	-9,667000E-9	7
-2,650000E+0	-9,324000E-9	8
-2,600000E+0	-9,144000E-9	9
-2,550000E+0	-8,511000E-9	10
-2,500000E+0	-8,797000E-9	11
-2,450000E+0	-6,468000E-9	12
-2,400000E+0	-7,309000E-9	13
-2,350000E+0	-7,596000E-9	14
-2,300000E+0	-6,237000E-9	15
-2,250000E+0	-5,497000E-9	16
-2,200000E+0	-5,159000E-9	17
-2,150000E+0	-5,440000E-9	18
-2,100000E+0	-4,872000E-9	19
-2,050000E+0	-5,133000E-9	20
-2,000000E+0	-4,546000E-9	21
-1,950000E+0	-4,378000E-9	22
-1,900000E+0	-3,729000E-9	23
-1,850000E+0	-3,485000E-9	24
-1,800000E+0	-3,598000E-9	25
-1,750000E+0	-3,520000E-9	26
-1,700000E+0	-2,980000E-9	27
-1,650000E+0	-2,978000E-9	28
-1,600000E+0	-2,437000E-9	29
-1,550000E+0	-2,334000E-9	30
-1,500000E+0	-1,798000E-9	31
-1,450000E+0	-1,739000E-9	32
-1,400000E+0	-1,498000E-9	33
-1,350000E+0	-1,424000E-9	34
-1,300000E+0	-1,068000E-9	35
-1,250000E+0	-943,000000E-12	36
-1,200000E+0	-737,000000E-12	37
-1,150000E+0	-682,000000E-12	38
-1,100000E+0	-547,000000E-12	39
-1,050000E+0	-483,000000E-12	40
-1,000000E+0	-401,000000E-12	41
-950,000000E-3	-339,000000E-12	42
-900,000000E-3	-275,000000E-12	43
-850,000000E-3	-215,000000E-12	44
-800,000000E-3	-187,000000E-12	45
-750,000000E-3	-162,000000E-12	46
-700,000000E-3	-147,000000E-12	47
-650,000000E-3	-117,000000E-12	48
-600,000000E-3	-89,000000E-12	49
-550,000000E-3	-60,000000E-12	50
-500,000000E-3	-39,000000E-12	51
-450,000000E-3	-43,000000E-12	52
-400,000000E-3	-92,000000E-12	53
-350,000000E-3	-38,000000E-12	54
-300,000000E-3	-6,000000E-12	55
-250,000000E-3	72,000000E-12	56
-200,000000E-3	-8,000000E-12	57
-150,000000E-3	2,000000E-12	58
-100,000000E-3	-50,000000E-12	59
-50,000000E-3	-10,000000E-12	60
0,000000E+0	-2,000000E-12	61
50,000000E-3	84,000000E-12	62
100,000000E-3	86,000000E-12	63
150,000000E-3	539,000000E-12	64
200,000000E-3	2,311000E-9	65
250,000000E-3	8,342000E-9	66
300,000000E-3	24,585000E-9	67
350,000000E-3	72,118000E-9	68
400,000000E-3	193,885000E-9	69
450,000000E-3	396,710000E-9	70
500,000000E-3	1,049590E-6	71
550,000000E-3	2,607400E-6	72
600,000000E-3	6,235900E-6	73
650,000000E-3	13,929800E-6	74
700,000000E-3	32,388000E-6	75
750,000000E-3	74,817000E-6	76
800,000000E-3	156,396000E-6	77
850,000000E-3	324,000000E-6	78
900,000000E-3	619,300000E-6	79
950,000000E-3	1,085780E-3	80
1,000000E+0	1,709770E-3	81
1,050000E+0	2,606600E-3	82
1,100000E+0	3,755500E-3	83
1,150000E+0	5,040800E-3	84
1,200000E+0	6,665300E-3	85
1,250000E+0	8,493100E-3	86
1,300000E+0	10,450300E-3	87
1,350000E+0	10,881200E-3	88
1,400000E+0	10,988200E-3	89
1,450000E+0	11,049300E-3	90
1,500000E+0	11,089400E-3	91
1,550000E+0	11,122800E-3	92
1,600000E+0	11,149700E-3	93
1,650000E+0	11,172400E-3	94
1,700000E+0	11,190700E-3	95
1,750000E+0	11,208000E-3	96
1,800000E+0	11,223400E-3	97
1,850000E+0	11,237300E-3	98
1,900000E+0	11,249100E-3	99
1,950000E+0	11,260800E-3	100
2,000000E+0	11,271500E-3	101
