Volt	Amp	¹
-3,000000E+0	-27,000000E-12	1
-2,950000E+0	-12,000000E-12	2
-2,900000E+0	-9,000000E-12	3
-2,850000E+0	-9,000000E-12	4
-2,800000E+0	-8,000000E-12	5
-2,750000E+0	-14,000000E-12	6
-2,700000E+0	-21,000000E-12	7
-2,650000E+0	4,000000E-12	8
-2,600000E+0	21,000000E-12	9
-2,550000E+0	2,000000E-12	10
-2,500000E+0	-5,000000E-12	11
-2,450000E+0	-43,000000E-12	12
-2,400000E+0	-14,000000E-12	13
-2,350000E+0	-7,000000E-12	14
-2,300000E+0	91,000000E-12	15
-2,250000E+0	15,000000E-12	16
-2,200000E+0	11,000000E-12	17
-2,150000E+0	-21,000000E-12	18
-2,100000E+0	9,000000E-12	19
-2,050000E+0	4,000000E-12	20
-2,000000E+0	38,000000E-12	21
-1,950000E+0	15,000000E-12	22
-1,900000E+0	0,000000E+0	23
-1,850000E+0	-3,000000E-12	24
-1,800000E+0	-3,000000E-12	25
-1,750000E+0	5,000000E-12	26
-1,700000E+0	10,000000E-12	27
-1,650000E+0	12,000000E-12	28
-1,600000E+0	10,000000E-12	29
-1,550000E+0	-1,000000E-12	30
-1,500000E+0	1,000000E-12	31
-1,450000E+0	-4,000000E-12	32
-1,400000E+0	16,000000E-12	33
-1,350000E+0	32,000000E-12	34
-1,300000E+0	12,000000E-12	35
-1,250000E+0	1,000000E-12	36
-1,200000E+0	-47,000000E-12	37
-1,150000E+0	-2,000000E-12	38
-1,100000E+0	1,000000E-12	39
-1,050000E+0	97,000000E-12	40
-1,000000E+0	14,000000E-12	41
-950,000000E-3	4,000000E-12	42
-900,000000E-3	-4,000000E-12	43
-850,000000E-3	-4,000000E-12	44
-800,000000E-3	3,000000E-12	45
-750,000000E-3	46,000000E-12	46
-700,000000E-3	17,000000E-12	47
-650,000000E-3	12,000000E-12	48
-600,000000E-3	-1,000000E-12	49
-550,000000E-3	4,000000E-12	50
-500,000000E-3	5,000000E-12	51
-450,000000E-3	17,000000E-12	52
-400,000000E-3	17,000000E-12	53
-350,000000E-3	4,000000E-12	54
-300,000000E-3	11,000000E-12	55
-250,000000E-3	-6,000000E-12	56
-200,000000E-3	3,000000E-12	57
-150,000000E-3	8,000000E-12	58
-100,000000E-3	28,000000E-12	59
-50,000000E-3	17,000000E-12	60
0,000000E+0	12,000000E-12	61
50,000000E-3	-40,000000E-12	62
100,000000E-3	-8,000000E-12	63
150,000000E-3	-5,000000E-12	64
200,000000E-3	76,000000E-12	65
250,000000E-3	17,000000E-12	66
300,000000E-3	3,000000E-12	67
350,000000E-3	-10,000000E-12	68
400,000000E-3	42,000000E-12	69
450,000000E-3	521,000000E-12	70
500,000000E-3	4,503000E-9	71
550,000000E-3	29,102000E-9	72
600,000000E-3	156,447000E-9	73
650,000000E-3	603,510000E-9	74
700,000000E-3	2,341200E-6	75
750,000000E-3	8,052000E-6	76
800,000000E-3	22,337000E-6	77
850,000000E-3	60,881000E-6	78
900,000000E-3	148,388000E-6	79
950,000000E-3	318,130000E-6	80
1,000000E+0	595,630000E-6	81
1,050000E+0	1,065720E-3	82
1,100000E+0	1,747650E-3	83
1,150000E+0	2,587700E-3	84
1,200000E+0	3,745900E-3	85
1,250000E+0	5,135700E-3	86
1,300000E+0	6,746900E-3	87
1,350000E+0	8,436400E-3	88
1,400000E+0	10,370500E-3	89
1,450000E+0	10,882500E-3	90
1,500000E+0	10,983500E-3	91
1,550000E+0	11,046200E-3	92
1,600000E+0	11,089600E-3	93
1,650000E+0	11,122700E-3	94
1,700000E+0	11,148100E-3	95
1,750000E+0	11,171100E-3	96
1,800000E+0	11,190700E-3	97
1,850000E+0	11,208000E-3	98
1,900000E+0	11,222400E-3	99
1,950000E+0	11,236300E-3	100
2,000000E+0	11,249100E-3	101
